supplier_id,supplier_name,country,sector,tier,esg_score,risk_rating,emission_contribution_tco2e,audit_status,last_audit_date,key_risk_factors,annual_spend_inr_crores,scope3_category,single_source_flag,emission_factor_source
SUP-00288,Nimbus Services LLP,Australia,Catering & Facilities,Tier 1,67.6,Low,1396.9,Compliant,2022-11-18,,72.59,Cat 6: Business Travel,No,Supplier-reported (CDP)
SUP-00289,Fortis Systems Ltd,Brazil,Packaging,Tier 3,63.8,Low,1431.0,Compliant,2024-12-09,"Air emissions, Climate transition risk",27.05,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00290,Borealis Manufacturing GmbH,Germany,Agriculture,Tier 2,78.7,Low,60.8,Pending,2021-07-28,Waste disposal,0.7,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00291,Vector Industries Inc,India,Engineering Services,Tier 1,82.0,Low,92.9,Compliant,2022-01-08,,11.53,Cat 2: Capital Goods,No,Industry Average (IEA)
SUP-00292,Tempus Group Pvt Ltd,Turkey,Pharmaceuticals,Tier 1,60.5,Medium,760.9,Pending,2022-04-08,"Tax transparency, Bribery & corruption, Conflict minerals",26.52,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00293,Cardinal Enterprises Co,Netherlands,Manufacturing,Tier 2,88.0,High,541.4,Overdue,2023-02-25,"Forced labor risk, Climate transition risk",18.64,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00294,Delta Chemicals GmbH,Australia,Chemicals,Tier 2,61.3,Medium,911.2,Re-audit Required,2021-08-11,Child labor risk,10.1,Cat 11: Use of Sold Products,No,Industry Average (IEA)
SUP-00295,Falcon Technologies Corp,Germany,Steel & Metals,Tier 2,26.2,Critical,1719.0,Overdue,2022-11-26,"Water stress, Tax transparency, Data security",9.73,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00296,Lumen Industries AG,United States,Construction,Tier 2,67.5,Low,521.8,Compliant,2023-09-10,"Ethical sourcing, Effluent management",8.68,Cat 2: Capital Goods,No,Supplier-reported (CDP)
SUP-00297,Solstice Works Pvt Ltd,UAE,Industrial Equipment,Tier 1,78.1,Low,20.0,Overdue,2023-07-08,Water stress,1.03,Cat 2: Capital Goods,No,DEFRA UK 2024
SUP-00298,Lumen Services LLP,Germany,Catering & Facilities,Tier 3,54.6,High,1256.2,Overdue,2023-11-12,"Bribery & corruption, Diversity gap, Waste disposal, Energy intensity",82.7,Cat 6: Business Travel,No,EPA Emission Factors Hub 2024
SUP-00299,Astra Services LLP,South Korea,Mining,Tier 1,74.4,Medium,1396.8,Compliant,2023-01-07,Labor practices,7.0,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00300,Kestrel Works LLP,United Kingdom,Plastics & Polymers,Tier 2,70.3,Medium,588.7,Pending,2023-11-10,Effluent management,9.53,Cat 11: Use of Sold Products,No,EXIOBASE v3.8
SUP-00301,Granite Chemicals Inc,UAE,Pharmaceuticals,Tier 1,65.9,Medium,652.5,Compliant,2021-11-16,"Living wage, Child labor risk",26.04,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00302,Yarrow Chemicals AG,France,Industrial Equipment,Tier 1,76.0,Low,389.6,Compliant,2021-04-11,,20.49,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00303,Polaris Distributors AG,Turkey,Packaging,Tier 1,60.6,Low,535.8,Pending,2023-07-20,,9.45,Cat 1: Purchased Goods & Services,Yes,USEEIO v2.0
SUP-00304,Drake Polymers Pvt Ltd,United States,Energy Services,Tier 2,54.2,Medium,772.1,Compliant,2021-03-21,"Climate transition risk, Worker safety",9.25,Cat 3: Fuel & Energy Related,No,Supplier-reported (CDP)
SUP-00305,Orion Resources Pvt Ltd,South Korea,Packaging,Tier 3,59.0,High,287.1,Overdue,2024-10-25,"Biodiversity impact, Tax transparency",8.82,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00306,Kestrel Components AG,Saudi Arabia,Packaging,Tier 3,42.5,High,1157.9,Overdue,2024-02-15,"Air emissions, Worker safety, Diversity gap, Conflict minerals",20.21,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00307,Delta Systems GmbH,Germany,IT Services,Tier 1,88.2,Low,214.2,Compliant,2022-04-17,Data security,47.75,Cat 15: Investments,No,EcoInvent v3.10
SUP-00308,Polaris Services GmbH,Italy,Plastics & Polymers,Tier 1,74.0,High,133.2,Pending,2023-10-08,"Biodiversity impact, Conflict minerals",1.69,Cat 11: Use of Sold Products,Yes,EXIOBASE v3.8
SUP-00309,Orion Works Pvt Ltd,Australia,Agriculture,Tier 3,26.5,Critical,383.7,Action Plan,2024-03-26,"Labor practices, Data security, Air emissions",4.87,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00310,Astra Group GmbH,Bangladesh,Industrial Equipment,Tier 1,72.4,Medium,397.4,Compliant,2023-03-04,"Diversity gap, Biodiversity impact",15.5,Cat 2: Capital Goods,No,Industry Average (IEA)
SUP-00311,Cygnus Polymers LLP,Malaysia,Mining,Tier 1,71.1,Medium,6109.9,Overdue,2022-12-03,Water stress,42.03,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00312,Kestrel Systems AG,Netherlands,Transportation,Tier 1,78.2,Low,2795.0,Compliant,2022-02-15,"Waste disposal, Air emissions",38.17,Cat 9: Downstream Transportation,No,GLEC Framework v3.0
SUP-00313,Apex Systems Corp,Brazil,Packaging,Tier 1,66.4,Medium,197.3,Compliant,2021-08-23,"Water stress, Living wage",5.6,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00314,Wolfram Distributors Corp,Turkey,Transportation,Tier 1,74.0,Medium,138.1,Action Plan,2024-01-07,Forced labor risk,2.43,Cat 9: Downstream Transportation,No,USEEIO v2.0
SUP-00315,Umbra Enterprises SA,UAE,Packaging,Tier 3,72.3,Medium,410.2,Pending,2024-08-10,Air emissions,9.87,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00316,Helios Holdings Co,Mexico,Construction,Tier 1,79.5,Low,606.8,Pending,2022-02-04,Conflict minerals,7.7,Cat 2: Capital Goods,No,USEEIO v2.0
SUP-00317,Yarrow Technologies Corp,Bangladesh,IT Services,Tier 1,46.4,High,27.4,Overdue,2021-08-25,"Biodiversity impact, Bribery & corruption, Diversity gap, Energy intensity",8.17,Cat 15: Investments,No,EPA Emission Factors Hub 2024
SUP-00318,Granite Systems AG,Brazil,Agriculture,Tier 2,61.3,Medium,85.2,Pending,2021-09-27,"Water stress, Climate transition risk, Waste disposal",1.19,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00319,Tempus Solutions GmbH,Japan,Energy Services,Tier 2,73.6,High,2559.3,Pending,2021-06-21,"Climate transition risk, Effluent management, Bribery & corruption, Forced labor risk",30.42,Cat 3: Fuel & Energy Related,No,EXIOBASE v3.8
SUP-00320,Gemini Technologies Co,Germany,IT Services,Tier 1,77.4,Low,17.2,Compliant,2024-01-25,"Air emissions, Labor practices",5.33,Cat 15: Investments,No,Industry Average (IEA)
SUP-00321,Juno Holdings AG,Australia,Construction,Tier 1,95.0,Low,2552.0,Compliant,2023-08-19,"Worker safety, Forced labor risk",36.63,Cat 2: Capital Goods,No,EPA Emission Factors Hub 2024
SUP-00322,Astra Solutions LLP,Vietnam,Chemicals,Tier 1,87.5,Medium,1499.0,Pending,2022-11-28,"Water stress, Conflict minerals, Biodiversity impact",12.56,Cat 11: Use of Sold Products,No,GLEC Framework v3.0
SUP-00323,Orion Resources GmbH,Mexico,Catering & Facilities,Tier 1,64.2,Low,269.3,Pending,2024-03-22,"Energy intensity, Biodiversity impact",16.44,Cat 6: Business Travel,No,EPA Emission Factors Hub 2024
SUP-00324,Apex Technologies GmbH,Indonesia,IT Services,Tier 2,57.3,High,34.3,Overdue,2021-10-28,"Diversity gap, Air emissions",8.97,Cat 15: Investments,No,EcoInvent v3.10
SUP-00325,Xenon Engineering Inc,Egypt,IT Services,Tier 3,33.1,Medium,23.6,Compliant,2021-06-18,"Effluent management, Labor practices, Forced labor risk",7.94,Cat 15: Investments,No,EPA Emission Factors Hub 2024
SUP-00326,Delta Chemicals Inc,Malaysia,Steel & Metals,Tier 1,83.7,Low,1800.9,Compliant,2021-01-12,"Bribery & corruption, Effluent management",14.43,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00327,Ember Enterprises AG,United Kingdom,Catering & Facilities,Tier 3,74.7,Low,137.3,Action Plan,2022-10-12,Climate transition risk,12.83,Cat 6: Business Travel,No,Supplier-reported (CDP)
SUP-00328,Gemini Chemicals LLP,Thailand,Logistics,Tier 2,20.4,Critical,1194.1,Re-audit Required,2023-11-09,"Air emissions, Effluent management, Climate transition risk, Data security, Conflict minerals",16.15,Cat 4: Upstream Transportation,No,DEFRA UK 2024
SUP-00329,Helios Systems LLP,France,Industrial Equipment,Tier 1,83.0,Low,333.5,Action Plan,2022-11-27,Data security,10.72,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00330,Ember Services Inc,United Kingdom,Chemicals,Tier 2,66.0,Critical,2501.9,Overdue,2023-06-09,"Data security, Labor practices, Child labor risk",31.0,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00331,Drake Services LLP,France,Packaging,Tier 1,71.3,High,3463.0,Pending,2021-02-16,"Bribery & corruption, Diversity gap",65.99,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00332,Tempus Chemicals Corp,Thailand,Mining,Tier 1,67.4,High,498.2,Pending,2023-03-22,"Labor practices, Water stress",3.71,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00333,Drake Resources Corp,Saudi Arabia,Construction,Tier 2,74.0,Low,1952.6,Compliant,2021-07-08,Diversity gap,29.57,Cat 2: Capital Goods,No,EXIOBASE v3.8
SUP-00334,Apex Manufacturing Pvt Ltd,Saudi Arabia,Steel & Metals,Tier 1,69.1,Medium,1568.7,Compliant,2022-11-14,"Air emissions, Conflict minerals, Bribery & corruption",8.62,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00335,Ravelin Enterprises Co,South Korea,Packaging,Tier 1,56.3,High,359.4,Action Plan,2024-07-01,"Effluent management, Diversity gap",9.71,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00336,Polaris Logistics SA,Brazil,Manufacturing,Tier 1,71.8,Medium,580.2,Pending,2022-06-06,Waste disposal,15.94,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00337,Fortis Polymers Co,China,Industrial Equipment,Tier 1,80.4,Medium,188.2,Action Plan,2024-09-02,Effluent management,9.22,Cat 2: Capital Goods,No,USEEIO v2.0
SUP-00338,Indus Group GmbH,Brazil,Logistics,Tier 1,72.3,Medium,2057.3,Pending,2021-04-20,Labor practices,32.3,Cat 9: Downstream Transportation,No,Industry Average (IEA)
SUP-00339,Astra Logistics LLP,Netherlands,Pharmaceuticals,Tier 3,39.0,Critical,670.7,Action Plan,2023-06-17,"Energy intensity, Data security, Air emissions, Tax transparency, Living wage",18.68,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00340,Helios Technologies Pvt Ltd,Turkey,Steel & Metals,Tier 1,77.7,Low,780.6,Compliant,2023-02-09,,4.97,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00341,Ravelin Group GmbH,Italy,Pharmaceuticals,Tier 2,55.9,High,1007.3,Overdue,2024-07-16,"Conflict minerals, Child labor risk, Water stress",25.4,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00342,Granite Resources Pvt Ltd,Australia,Energy Services,Tier 1,78.1,High,2342.0,Pending,2022-03-07,"Worker safety, Tax transparency, Energy intensity",25.24,Cat 3: Fuel & Energy Related,No,DEFRA UK 2024
SUP-00343,Cygnus Works GmbH,Brazil,Pharmaceuticals,Tier 1,63.2,Medium,792.4,Compliant,2024-02-17,Effluent management,35.3,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00344,Fortis Engineering SA,Brazil,Electronics,Tier 2,33.6,Medium,268.8,Compliant,2022-06-06,Ethical sourcing,10.15,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00345,Falcon Packaging Co,UAE,IT Services,Tier 1,95.0,Low,17.8,Compliant,2021-07-26,"Waste disposal, Biodiversity impact",4.28,Cat 15: Investments,No,EcoInvent v3.10
SUP-00346,Indus Trading Inc,Egypt,Plastics & Polymers,Tier 1,66.0,Medium,2048.8,Compliant,2023-03-24,Effluent management,25.99,Cat 1: Purchased Goods & Services,Yes,Supplier-reported (EcoVadis)
SUP-00347,Drake Polymers LLP,Sri Lanka,Electronics,Tier 1,81.0,Medium,132.3,Compliant,2021-01-25,Energy intensity,4.87,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00348,Hyperion Chemicals AG,Italy,Catering & Facilities,Tier 2,50.3,Critical,187.1,Pending,2024-08-08,"Water stress, Bribery & corruption, Tax transparency, Ethical sourcing",11.53,Cat 6: Business Travel,No,Supplier-reported (EcoVadis)
SUP-00349,Zenith Components Inc,India,Pharmaceuticals,Tier 1,66.9,Medium,64.6,Pending,2021-11-16,"Data security, Biodiversity impact, Energy intensity",2.0,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00350,Cygnus Industries AG,Italy,Catering & Facilities,Tier 1,62.0,Medium,66.5,Re-audit Required,2023-11-17,"Data security, Biodiversity impact, Energy intensity",5.72,Cat 6: Business Travel,No,Supplier-reported (EcoVadis)
SUP-00351,Cardinal Chemicals LLP,Malaysia,Energy Services,Tier 3,49.4,High,3440.4,Action Plan,2024-04-10,"Bribery & corruption, Diversity gap, Tax transparency, Conflict minerals",38.83,Cat 3: Fuel & Energy Related,No,Supplier-reported (EcoVadis)
SUP-00352,Yarrow Logistics SA,Mexico,Packaging,Tier 2,70.8,Low,343.3,Compliant,2021-11-27,,5.92,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00353,Yarrow Components Co,Egypt,Engineering Services,Tier 2,64.4,Medium,63.3,Compliant,2023-01-16,"Waste disposal, Conflict minerals",8.59,Cat 2: Capital Goods,No,Internal Engineering Estimate
SUP-00354,Juno Group Ltd,India,Logistics,Tier 3,43.5,Medium,458.0,Pending,2022-03-28,"Child labor risk, Labor practices, Water stress",6.69,Cat 4: Upstream Transportation,No,EPA Emission Factors Hub 2024
SUP-00355,Helios Materials Corp,United States,Steel & Metals,Tier 1,86.7,Low,459.3,Action Plan,2021-09-09,,4.61,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00356,Wolfram Distributors LLP,Malaysia,Logistics,Tier 1,81.8,Medium,2349.3,Pending,2024-03-07,"Effluent management, Climate transition risk, Tax transparency",29.11,Cat 9: Downstream Transportation,No,GLEC Framework v3.0
SUP-00357,Tempus Trading LLP,United Kingdom,Logistics,Tier 1,67.5,High,1676.8,Overdue,2021-02-04,"Effluent management, Worker safety, Data security, Forced labor risk",26.33,Cat 4: Upstream Transportation,No,Industry Average (IEA)
SUP-00358,Polaris Polymers GmbH,UAE,Logistics,Tier 3,37.4,High,252.3,Re-audit Required,2022-11-15,"Biodiversity impact, Ethical sourcing, Living wage, Effluent management",4.75,Cat 4: Upstream Transportation,No,Supplier-reported (CDP)
SUP-00359,Solstice Industries Co,South Korea,Industrial Equipment,Tier 1,56.8,Critical,240.8,Action Plan,2024-03-26,"Tax transparency, Water stress, Biodiversity impact, Air emissions, Diversity gap",7.96,Cat 2: Capital Goods,No,EXIOBASE v3.8
SUP-00360,Xenon Packaging Inc,Egypt,Electronics,Tier 1,72.9,High,98.2,Action Plan,2023-10-27,"Worker safety, Tax transparency",4.92,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00361,Gemini Solutions SA,UAE,Transportation,Tier 3,33.1,Critical,83.5,Action Plan,2023-02-07,"Effluent management, Climate transition risk, Ethical sourcing, Biodiversity impact, Diversity gap",1.1,Cat 9: Downstream Transportation,No,DEFRA UK 2024
SUP-00362,Beacon Distributors Co,Sri Lanka,Construction,Tier 1,55.2,High,3658.0,Overdue,2023-06-07,"Climate transition risk, Forced labor risk",41.12,Cat 2: Capital Goods,No,Supplier-reported (CDP)
SUP-00363,Umbra Enterprises Co,Brazil,Logistics,Tier 1,60.9,High,4790.4,Action Plan,2021-03-21,"Labor practices, Waste disposal, Forced labor risk",60.7,Cat 4: Upstream Transportation,No,Internal Engineering Estimate
SUP-00364,Umbra Manufacturing Inc,UAE,Packaging,Tier 3,52.8,High,1116.7,Pending,2021-12-14,"Tax transparency, Data security, Worker safety",22.65,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00365,Cardinal Distributors AG,Malaysia,Mining,Tier 2,79.9,Medium,4098.4,Compliant,2024-07-27,"Data security, Water stress, Living wage",22.91,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00366,Kestrel Distributors AG,France,Pharmaceuticals,Tier 1,79.2,Low,489.6,Compliant,2023-05-06,Effluent management,12.08,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00367,Quasar Technologies Ltd,South Africa,Engineering Services,Tier 2,34.8,High,682.4,Action Plan,2021-11-19,"Labor practices, Ethical sourcing, Waste disposal, Energy intensity",101.07,Cat 2: Capital Goods,No,EcoInvent v3.10
SUP-00368,Indus Enterprises Ltd,Australia,Catering & Facilities,Tier 1,62.5,Medium,341.9,Compliant,2021-03-10,"Tax transparency, Water stress, Air emissions",24.45,Cat 6: Business Travel,No,EXIOBASE v3.8
SUP-00369,Cygnus Trading Corp,Turkey,Agriculture,Tier 3,32.6,High,428.6,Action Plan,2022-08-09,"Air emissions, Waste disposal, Child labor risk",6.78,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00370,Polaris Chemicals Pvt Ltd,Australia,Pharmaceuticals,Tier 2,60.8,High,295.4,Action Plan,2024-12-07,"Ethical sourcing, Energy intensity",7.51,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00371,Tempus Components SA,Saudi Arabia,Manufacturing,Tier 1,88.8,Medium,321.9,Pending,2022-07-21,"Tax transparency, Worker safety",14.22,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00372,Vector Packaging Corp,Germany,Pharmaceuticals,Tier 1,73.5,Medium,916.3,Compliant,2021-07-28,Biodiversity impact,30.61,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00373,Kestrel Resources Ltd,United States,Packaging,Tier 1,86.0,Low,323.7,Action Plan,2023-01-11,"Tax transparency, Worker safety",8.2,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00374,Xenon Industries Pvt Ltd,Indonesia,Agriculture,Tier 3,55.5,Medium,1605.3,Compliant,2024-05-20,"Climate transition risk, Air emissions, Forced labor risk",18.7,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00375,Juno Chemicals AG,United States,Steel & Metals,Tier 1,61.8,Medium,3336.3,Pending,2022-08-16,Worker safety,19.28,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00376,Cardinal Logistics Pvt Ltd,United Kingdom,Manufacturing,Tier 1,68.2,Critical,267.0,Overdue,2022-04-04,"Energy intensity, Data security, Bribery & corruption",9.47,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00377,Granite Holdings LLP,Vietnam,Manufacturing,Tier 1,68.0,Low,723.4,Compliant,2024-07-05,Waste disposal,26.91,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00378,Astra Technologies Pvt Ltd,Italy,Agriculture,Tier 2,82.5,Low,327.3,Re-audit Required,2022-10-06,,3.68,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00379,Juno Polymers Inc,Italy,Manufacturing,Tier 1,71.7,High,49.8,Overdue,2023-06-21,"Effluent management, Living wage, Tax transparency, Air emissions",1.46,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00380,Beacon Group LLP,Vietnam,Plastics & Polymers,Tier 1,67.1,Medium,2041.1,Action Plan,2021-12-22,Water stress,34.83,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00381,Juno Solutions SA,Thailand,Industrial Equipment,Tier 1,76.3,Low,127.8,Pending,2023-02-16,,6.64,Cat 1: Purchased Goods & Services,Yes,EXIOBASE v3.8
SUP-00382,Nimbus Trading Co,Netherlands,Catering & Facilities,Tier 1,85.9,Low,20.8,Action Plan,2023-09-24,"Effluent management, Forced labor risk",1.5,Cat 6: Business Travel,No,EPA Emission Factors Hub 2024
SUP-00383,Falcon Polymers SA,South Korea,Mining,Tier 3,42.0,High,50122.9,Overdue,2023-02-03,"Air emissions, Tax transparency, Waste disposal, Water stress",291.31,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00384,Yarrow Logistics Ltd,United Kingdom,Energy Services,Tier 1,82.8,Low,1780.9,Compliant,2022-02-09,Forced labor risk,19.41,Cat 3: Fuel & Energy Related,No,GLEC Framework v3.0
SUP-00385,Ember Packaging Inc,United States,Logistics,Tier 1,81.4,Medium,73.6,Compliant,2022-05-17,Bribery & corruption,1.29,Cat 9: Downstream Transportation,No,EPA Emission Factors Hub 2024
SUP-00386,Borealis Distributors SA,Brazil,IT Services,Tier 3,49.6,High,126.9,Overdue,2022-08-16,"Conflict minerals, Climate transition risk",32.36,Cat 15: Investments,No,Supplier-reported (CDP)
SUP-00387,Cygnus Enterprises LLP,South Africa,Industrial Equipment,Tier 1,67.0,Low,390.0,Pending,2021-10-15,,19.81,Cat 2: Capital Goods,No,Internal Engineering Estimate
SUP-00388,Indus Engineering Inc,Turkey,Pharmaceuticals,Tier 1,78.1,Low,294.4,Action Plan,2024-06-13,"Climate transition risk, Biodiversity impact",7.27,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00389,Eclipse Trading Inc,United Kingdom,Plastics & Polymers,Tier 3,49.9,Medium,1087.5,Compliant,2022-05-09,"Tax transparency, Air emissions, Biodiversity impact",16.19,Cat 11: Use of Sold Products,No,DEFRA UK 2024
SUP-00390,Granite Enterprises Co,United States,Construction,Tier 1,51.4,High,527.5,Overdue,2024-05-15,"Forced labor risk, Waste disposal, Energy intensity",6.93,Cat 2: Capital Goods,No,GLEC Framework v3.0
SUP-00391,Ember Works Ltd,Bangladesh,Electronics,Tier 1,70.0,High,54.4,Pending,2021-02-04,"Forced labor risk, Labor practices, Worker safety",2.71,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00392,Juno Group AG,South Africa,Engineering Services,Tier 3,64.0,Medium,15.4,Compliant,2024-06-03,"Diversity gap, Data security",2.47,Cat 2: Capital Goods,No,EPA Emission Factors Hub 2024
SUP-00393,Borealis Engineering AG,Sri Lanka,Packaging,Tier 1,73.1,Medium,2291.4,Action Plan,2022-10-28,"Climate transition risk, Worker safety, Bribery & corruption",71.65,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00394,Astra Engineering Corp,Turkey,Energy Services,Tier 1,76.8,Low,1333.6,Compliant,2022-12-17,,12.11,Cat 3: Fuel & Energy Related,No,Internal Engineering Estimate
SUP-00395,Drake Chemicals SA,Germany,Steel & Metals,Tier 1,64.8,High,4669.3,Action Plan,2024-12-10,"Child labor risk, Ethical sourcing",36.74,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00396,Solstice Group Corp,Brazil,IT Services,Tier 1,58.3,Medium,7.5,Overdue,2024-11-28,Air emissions,1.8,Cat 15: Investments,No,Supplier-reported (EcoVadis)
SUP-00397,Eclipse Services Corp,Malaysia,IT Services,Tier 1,55.3,Medium,30.3,Compliant,2024-06-15,"Bribery & corruption, Tax transparency",8.11,Cat 15: Investments,No,EXIOBASE v3.8
SUP-00398,Wolfram Solutions Corp,South Korea,Energy Services,Tier 1,70.6,Critical,1026.0,Re-audit Required,2023-12-25,"Living wage, Child labor risk, Water stress, Effluent management, Data security",7.9,Cat 3: Fuel & Energy Related,No,USEEIO v2.0
SUP-00399,Ravelin Technologies Inc,Egypt,Mining,Tier 2,71.6,Medium,3930.6,Compliant,2022-10-17,"Air emissions, Water stress, Bribery & corruption",26.39,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00400,Delta Solutions Co,Vietnam,Engineering Services,Tier 2,63.6,Low,53.4,Re-audit Required,2024-08-19,,7.95,Cat 2: Capital Goods,Yes,DEFRA UK 2024
SUP-00401,Cardinal Enterprises Ltd,Australia,Agriculture,Tier 2,60.9,Low,7545.9,Compliant,2023-09-12,Water stress,89.86,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00402,Quasar Trading Corp,Australia,Pharmaceuticals,Tier 2,58.5,Medium,363.3,Pending,2021-01-11,"Effluent management, Climate transition risk, Diversity gap",9.33,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00403,Hyperion Materials SA,Mexico,Catering & Facilities,Tier 2,54.8,Low,179.5,Compliant,2023-11-01,,16.15,Cat 6: Business Travel,No,EcoInvent v3.10
SUP-00404,Gemini Logistics Co,Japan,Energy Services,Tier 1,89.8,Low,2228.7,Re-audit Required,2023-12-17,,16.42,Cat 3: Fuel & Energy Related,Yes,EXIOBASE v3.8
SUP-00405,Polaris Resources Inc,China,Industrial Equipment,Tier 2,60.3,Medium,1428.6,Overdue,2023-12-13,Bribery & corruption,47.34,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00406,Drake Trading SA,South Korea,Logistics,Tier 2,75.1,Low,1412.3,Pending,2022-11-26,"Climate transition risk, Labor practices",23.62,Cat 4: Upstream Transportation,No,Industry Average (IEA)
SUP-00407,Nimbus Solutions AG,India,Packaging,Tier 1,60.7,Critical,753.8,Action Plan,2021-08-01,"Climate transition risk, Energy intensity, Effluent management",18.55,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00408,Cardinal Industries Pvt Ltd,Egypt,Chemicals,Tier 1,73.0,High,2806.8,Pending,2021-04-22,"Bribery & corruption, Child labor risk, Energy intensity",31.8,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00409,Xenon Resources Co,Brazil,Construction,Tier 1,78.8,Low,351.1,Compliant,2023-03-25,,4.3,Cat 2: Capital Goods,No,Internal Engineering Estimate
SUP-00410,Orion Manufacturing Inc,South Africa,Manufacturing,Tier 2,58.0,High,301.0,Pending,2024-11-26,"Air emissions, Effluent management, Biodiversity impact, Labor practices",9.87,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00411,Zenith Solutions Ltd,Vietnam,Agriculture,Tier 2,53.8,High,1600.0,Overdue,2021-11-07,"Tax transparency, Bribery & corruption",17.46,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00412,Quasar Chemicals Co,Turkey,Construction,Tier 3,24.6,High,1838.5,Re-audit Required,2024-01-03,"Water stress, Waste disposal, Biodiversity impact",24.52,Cat 2: Capital Goods,No,Industry Average (IEA)
SUP-00413,Meridian Manufacturing AG,South Africa,Electronics,Tier 1,69.8,Medium,196.5,Pending,2022-03-01,"Air emissions, Climate transition risk",8.27,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00414,Helios Chemicals AG,Malaysia,Electronics,Tier 3,41.1,High,126.0,Pending,2023-01-12,"Conflict minerals, Bribery & corruption, Ethical sourcing",5.55,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
