risk_id,category,scenario,time_horizon,likelihood,financial_impact_inr_crores,mitigation,status,owner,affected_business_unit,risk_description
CR-01960,Physical-Chronic,IEA-NZE2050,Medium (2-5 yr),Possible,13.93,PPA conversion to renewables,Open,Procurement,REG-EST,Long-term cooling-water scarcity
CR-01961,Physical-Chronic,IEA-NZE2050,Medium (2-5 yr),Likely,2.66,Vendor diversification programme,Mitigating,Legal & Compliance,OFC-JPR,Long-term cooling-water scarcity
CR-01962,Physical-Chronic,IEA-NZE2050,Medium (2-5 yr),Possible,1.7,Workforce reskilling programme,Open,Plant Operations,PJT-CCS,Long-term cooling-water scarcity
CR-01963,Physical-Chronic,IEA-NZE2050,Medium (2-5 yr),Almost Certain,8.68,Insurance coverage expanded,Mitigating,CRO Office,BIZ-PLM,Long-term cooling-water scarcity
CR-01964,Physical-Chronic,IEA-NZE2050,Medium (2-5 yr),Likely,0.5,Engineering controls — process,Closed,Plant Operations,PJT-COC,Long-term cooling-water scarcity
CR-01965,Physical-Chronic,IEA-NZE2050,Long (5-10 yr),Likely,4.39,Capex earmarked in 5-yr plan,Mitigating,Investor Relations,DST-HYD,Long-term cooling-water scarcity
CR-01966,Physical-Chronic,IEA-NZE2050,Long (5-10 yr),Rare,11.65,Hedging via carbon market,Mitigating,Treasury,OFC-CHN,Long-term cooling-water scarcity
CR-01967,Physical-Chronic,IEA-NZE2050,Long (5-10 yr),Possible,20.7,Insurance coverage expanded,Mitigating,Strategy & Planning,PJT-WHB,Long-term cooling-water scarcity
CR-01968,Physical-Chronic,IEA-NZE2050,Long (5-10 yr),Likely,3.99,Supplier contract pass-through,Mitigating,Plant Operations,RSK-TRN,Long-term cooling-water scarcity
CR-01969,Physical-Chronic,IEA-NZE2050,Long (5-10 yr),Possible,5.36,PPA conversion to renewables,Mitigating,CRO Office,FNC-COR,Long-term cooling-water scarcity
CR-01970,Physical-Chronic,IEA-NZE2050,Long (5-10 yr),Rare,92.78,Engineering controls — process,Closed,Legal & Compliance,RSK-WTR,Long-term cooling-water scarcity
CR-01971,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Likely,21.38,Engineering controls — process,Open,Treasury,BIZ-HYD,Long-term cooling-water scarcity
CR-01972,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Rare,17.68,Workforce reskilling programme,Mitigating,Legal & Compliance,LOG-KCH,Long-term cooling-water scarcity
CR-01973,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Likely,10.98,Engineering controls — process,Mitigating,Sustainability — Climate,BIZ-PLM,Long-term cooling-water scarcity
CR-01974,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Likely,76.15,Site-level adaptation plan,Open,EHS Director,FW-SASB,Long-term cooling-water scarcity
CR-01975,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Likely,2.67,Customer transition partnership,Open,EHS Director,FW-SBTI,Long-term cooling-water scarcity
CR-01976,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Almost Certain,0.59,Customer transition partnership,Open,Investor Relations,BIZ-SPC,Long-term cooling-water scarcity
CR-01977,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Likely,18.25,Engineering controls — process,Closed,EHS Director,FW-GRI,Long-term cooling-water scarcity
CR-01978,Physical-Chronic,IEA-NZE2050,Very Long (10-30 yr),Likely,1.78,Supplier contract pass-through,Open,Group HR,PCH-HLD,Long-term cooling-water scarcity
CR-01979,Physical-Chronic,IEA-APS,Short (0-2 yr),Rare,0.5,PPA conversion to renewables,Mitigating,CRO Office,PJT-COC,Long-term cooling-water scarcity
CR-01980,Physical-Chronic,IEA-APS,Short (0-2 yr),Possible,164.89,Insurance coverage expanded,Open,Sustainability — Climate,OFC-AMD,Long-term cooling-water scarcity
CR-01981,Physical-Chronic,IEA-APS,Short (0-2 yr),Possible,61.27,Supplier contract pass-through,Open,CRO Office,PJT-NETZ,Long-term cooling-water scarcity
CR-01982,Physical-Chronic,IEA-APS,Short (0-2 yr),Possible,13.24,PPA conversion to renewables,Mitigating,Plant Operations,PCH-VDR,Long-term cooling-water scarcity
CR-01983,Physical-Chronic,IEA-APS,Short (0-2 yr),Possible,52.93,Hedging via carbon market,Closed,CRO Office,BIZ-FUE,Long-term cooling-water scarcity
CR-01984,Physical-Chronic,IEA-APS,Short (0-2 yr),Rare,3.68,Engineering controls — process,Closed,EHS Director,FW-CDP,Long-term cooling-water scarcity
CR-01985,Physical-Chronic,IEA-APS,Short (0-2 yr),Rare,8.08,Workforce reskilling programme,Mitigating,EHS Director,OFC-JPR,Long-term cooling-water scarcity
CR-01986,Physical-Chronic,IEA-APS,Short (0-2 yr),Possible,15.97,Customer transition partnership,Mitigating,Treasury,OFC-KCH,Long-term cooling-water scarcity
CR-01987,Physical-Chronic,IEA-APS,Medium (2-5 yr),Likely,14.75,Customer transition partnership,Open,Strategy & Planning,FNC-COR,Long-term cooling-water scarcity
CR-01988,Physical-Chronic,IEA-APS,Medium (2-5 yr),Likely,12.45,Insurance coverage expanded,Mitigating,EHS Director,FW-TNFD,Long-term cooling-water scarcity
CR-01989,Physical-Chronic,IEA-APS,Medium (2-5 yr),Almost Certain,14.79,Workforce reskilling programme,Mitigating,Treasury,OFC-AMD,Long-term cooling-water scarcity
CR-01990,Physical-Chronic,IEA-APS,Medium (2-5 yr),Likely,94.39,Engineering controls — process,Open,Procurement,RSK-WTR,Long-term cooling-water scarcity
CR-01991,Physical-Chronic,IEA-APS,Medium (2-5 yr),Possible,95.05,Capex earmarked in 5-yr plan,Mitigating,Strategy & Planning,PJT-LIV,Long-term cooling-water scarcity
CR-01992,Physical-Chronic,IEA-APS,Long (5-10 yr),Almost Certain,4.57,PPA conversion to renewables,Mitigating,CRO Office,DST-LKO,Long-term cooling-water scarcity
CR-01993,Physical-Chronic,IEA-APS,Long (5-10 yr),Rare,2.08,Site-level adaptation plan,Closed,CRO Office,OFC-DLH,Long-term cooling-water scarcity
CR-01994,Physical-Chronic,IEA-APS,Long (5-10 yr),Possible,61.81,Hedging via carbon market,Open,Investor Relations,BIZ-SPC,Long-term cooling-water scarcity
CR-01995,Physical-Chronic,IEA-APS,Long (5-10 yr),Almost Certain,0.84,Insurance coverage expanded,Closed,Strategy & Planning,PJT-NETZ,Long-term cooling-water scarcity
CR-01996,Physical-Chronic,IEA-APS,Long (5-10 yr),Possible,13.57,Customer transition partnership,Mitigating,Plant Operations,OFC-CMB,Long-term cooling-water scarcity
CR-01997,Physical-Chronic,IEA-APS,Long (5-10 yr),Almost Certain,8.0,Supplier contract pass-through,Mitigating,EHS Director,PCH-PDP,Long-term cooling-water scarcity
CR-01998,Physical-Chronic,IEA-APS,Long (5-10 yr),Almost Certain,9.65,Workforce reskilling programme,Mitigating,Treasury,DST-HYD,Long-term cooling-water scarcity
CR-01999,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Possible,26.99,PPA conversion to renewables,Mitigating,Sustainability — Climate,BIZ-AGR,Long-term cooling-water scarcity
CR-02000,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Likely,35.42,Customer transition partnership,Mitigating,Plant Operations,DST-KOL,Long-term cooling-water scarcity
CR-02001,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Almost Certain,2.66,Insurance coverage expanded,Open,EHS Director,PJT-NETZ,Long-term cooling-water scarcity
CR-02002,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Likely,10.89,Vendor diversification programme,Mitigating,Group HR,RND-PUN,Long-term cooling-water scarcity
CR-02003,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Possible,3.01,Site-level adaptation plan,Mitigating,Procurement,OFC-CHN,Long-term cooling-water scarcity
CR-02004,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Likely,52.2,Insurance coverage expanded,Open,Group HR,REF-HZR,Long-term cooling-water scarcity
CR-02005,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Rare,16.8,Vendor diversification programme,Mitigating,Group HR,FNC-PRC,Long-term cooling-water scarcity
CR-02006,Physical-Chronic,IEA-APS,Very Long (10-30 yr),Possible,13.18,Supplier contract pass-through,Mitigating,Strategy & Planning,OFC-CMB,Long-term cooling-water scarcity
CR-02007,Physical-Chronic,IEA-STEPS,Short (0-2 yr),Rare,30.32,Insurance coverage expanded,Mitigating,Group HR,PJT-EVS,Long-term cooling-water scarcity
CR-02008,Physical-Chronic,IEA-STEPS,Short (0-2 yr),Rare,9.17,Supplier contract pass-through,Mitigating,Group HR,MKT-OEM,Long-term cooling-water scarcity
CR-02009,Physical-Chronic,IEA-STEPS,Short (0-2 yr),Possible,9.68,Supplier contract pass-through,Open,Sustainability — Climate,PJT-LIV,Long-term cooling-water scarcity
CR-02010,Physical-Chronic,IEA-STEPS,Short (0-2 yr),Possible,2.65,Engineering controls — process,Open,Procurement,RSK-REP,Long-term cooling-water scarcity
CR-02011,Physical-Chronic,IEA-STEPS,Short (0-2 yr),Almost Certain,1.53,Engineering controls — process,Closed,Legal & Compliance,BIZ-SPC,Long-term cooling-water scarcity
CR-02012,Physical-Chronic,IEA-STEPS,Short (0-2 yr),Possible,78.82,PPA conversion to renewables,Mitigating,Investor Relations,RSK-TRN,Long-term cooling-water scarcity
CR-02013,Physical-Chronic,IEA-STEPS,Short (0-2 yr),Possible,10.16,Capex earmarked in 5-yr plan,Closed,CRO Office,PJT-COM,Long-term cooling-water scarcity
CR-02014,Physical-Chronic,IEA-STEPS,Medium (2-5 yr),Rare,22.05,Vendor diversification programme,Closed,EHS Director,PJT-DIG,Long-term cooling-water scarcity
CR-02015,Physical-Chronic,IEA-STEPS,Medium (2-5 yr),Possible,1.5,Hedging via carbon market,Mitigating,Procurement,DST-IND,Long-term cooling-water scarcity
CR-02016,Physical-Chronic,IEA-STEPS,Medium (2-5 yr),Possible,1.53,PPA conversion to renewables,Mitigating,CRO Office,REG-STH,Long-term cooling-water scarcity
CR-02017,Physical-Chronic,IEA-STEPS,Medium (2-5 yr),Possible,5.66,PPA conversion to renewables,Open,Strategy & Planning,FW-CDP,Long-term cooling-water scarcity
CR-02018,Physical-Chronic,IEA-STEPS,Medium (2-5 yr),Possible,8.87,Workforce reskilling programme,Closed,Sustainability — Climate,PJT-LIV,Long-term cooling-water scarcity
CR-02019,Physical-Chronic,IEA-STEPS,Medium (2-5 yr),Likely,2.81,Workforce reskilling programme,Closed,Strategy & Planning,PCH-VDR,Long-term cooling-water scarcity
CR-02020,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Possible,20.69,Customer transition partnership,Closed,Strategy & Planning,OFC-KCH,Long-term cooling-water scarcity
CR-02021,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Rare,121.68,Hedging via carbon market,Open,Plant Operations,RSK-REG,Long-term cooling-water scarcity
CR-02022,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Possible,21.87,Hedging via carbon market,Mitigating,Plant Operations,FW-GRI,Long-term cooling-water scarcity
CR-02023,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Rare,0.85,Vendor diversification programme,Closed,Legal & Compliance,LOG-MNG,Long-term cooling-water scarcity
CR-02024,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Possible,26.47,Customer transition partnership,Closed,Sustainability — Climate,FNC-IT,Long-term cooling-water scarcity
CR-02025,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Almost Certain,41.29,Vendor diversification programme,Mitigating,Legal & Compliance,PCH-DHJ,Long-term cooling-water scarcity
CR-02026,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Likely,14.98,Capex earmarked in 5-yr plan,Mitigating,CRO Office,REG-NTH,Long-term cooling-water scarcity
CR-02027,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Almost Certain,56.1,Vendor diversification programme,Open,CRO Office,PJT-SAF,Long-term cooling-water scarcity
CR-02028,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Possible,3.54,Capex earmarked in 5-yr plan,Open,Group HR,FNC-HRM,Long-term cooling-water scarcity
CR-02029,Physical-Chronic,IEA-STEPS,Long (5-10 yr),Possible,0.74,Vendor diversification programme,Open,Treasury,LOG-KND,Long-term cooling-water scarcity
CR-02030,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Rare,3.21,Vendor diversification programme,Mitigating,Treasury,LOG-NSK,Long-term cooling-water scarcity
CR-02031,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Possible,25.99,Hedging via carbon market,Open,Treasury,FW-IFRS,Long-term cooling-water scarcity
CR-02032,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Almost Certain,0.93,Capex earmarked in 5-yr plan,Mitigating,Sustainability — Climate,FNC-HRM,Long-term cooling-water scarcity
CR-02033,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Likely,2.06,Site-level adaptation plan,Open,CRO Office,PJT-HRT,Long-term cooling-water scarcity
CR-02034,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Possible,1.3,PPA conversion to renewables,Mitigating,Group HR,RSK-CYB,Long-term cooling-water scarcity
CR-02035,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Likely,2.05,Site-level adaptation plan,Mitigating,Legal & Compliance,PJT-COC,Long-term cooling-water scarcity
CR-02036,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Likely,6.22,Supplier contract pass-through,Mitigating,CRO Office,PJT-BIO,Long-term cooling-water scarcity
CR-02037,Physical-Chronic,IEA-STEPS,Very Long (10-30 yr),Rare,4.53,Vendor diversification programme,Closed,EHS Director,MKT-DST,Long-term cooling-water scarcity
CR-02038,Physical-Chronic,RCP2.6,Short (0-2 yr),Likely,9.37,Vendor diversification programme,Mitigating,CRO Office,RSK-REG,Long-term cooling-water scarcity
CR-02039,Physical-Chronic,RCP2.6,Short (0-2 yr),Possible,7.51,Hedging via carbon market,Open,Sustainability — Climate,RSK-DAT,Long-term cooling-water scarcity
CR-02040,Physical-Chronic,RCP2.6,Short (0-2 yr),Possible,2.68,Customer transition partnership,Mitigating,EHS Director,OFC-CHN,Long-term cooling-water scarcity
CR-02041,Physical-Chronic,RCP2.6,Short (0-2 yr),Likely,30.25,Site-level adaptation plan,Mitigating,Group HR,FNC-IT,Long-term cooling-water scarcity
CR-02042,Physical-Chronic,RCP2.6,Short (0-2 yr),Possible,20.28,Workforce reskilling programme,Mitigating,Plant Operations,REG-EST,Long-term cooling-water scarcity
CR-02043,Physical-Chronic,RCP2.6,Short (0-2 yr),Likely,54.96,Workforce reskilling programme,Mitigating,Group HR,PJT-CCS,Long-term cooling-water scarcity
CR-02044,Physical-Chronic,RCP2.6,Medium (2-5 yr),Almost Certain,61.4,Supplier contract pass-through,Mitigating,Group HR,LOG-VSP,Long-term cooling-water scarcity
CR-02045,Physical-Chronic,RCP2.6,Medium (2-5 yr),Likely,0.68,Hedging via carbon market,Open,Legal & Compliance,FNC-COM,Long-term cooling-water scarcity
CR-02046,Physical-Chronic,RCP2.6,Medium (2-5 yr),Rare,11.4,Capex earmarked in 5-yr plan,Mitigating,Legal & Compliance,OFC-BBS,Long-term cooling-water scarcity
CR-02047,Physical-Chronic,RCP2.6,Medium (2-5 yr),Rare,2.26,Vendor diversification programme,Closed,Treasury,LOG-KCH,Long-term cooling-water scarcity
CR-02048,Physical-Chronic,RCP2.6,Medium (2-5 yr),Almost Certain,5.68,Workforce reskilling programme,Open,Group HR,DST-KOL,Long-term cooling-water scarcity
CR-02049,Physical-Chronic,RCP2.6,Long (5-10 yr),Possible,51.75,Site-level adaptation plan,Mitigating,Treasury,FW-SASB,Long-term cooling-water scarcity
CR-02050,Physical-Chronic,RCP2.6,Long (5-10 yr),Possible,52.81,Workforce reskilling programme,Closed,CRO Office,PJT-NETZ,Long-term cooling-water scarcity
CR-02051,Physical-Chronic,RCP2.6,Long (5-10 yr),Possible,15.43,PPA conversion to renewables,Mitigating,Investor Relations,REG-WST,Long-term cooling-water scarcity
CR-02052,Physical-Chronic,RCP2.6,Long (5-10 yr),Possible,1.06,Site-level adaptation plan,Mitigating,EHS Director,PJT-DIG,Long-term cooling-water scarcity
CR-02053,Physical-Chronic,RCP2.6,Long (5-10 yr),Possible,3.33,Supplier contract pass-through,Mitigating,Group HR,FNC-HRM,Long-term cooling-water scarcity
CR-02054,Physical-Chronic,RCP2.6,Long (5-10 yr),Almost Certain,1.14,Capex earmarked in 5-yr plan,Open,EHS Director,PJT-AUD,Long-term cooling-water scarcity
CR-02055,Physical-Chronic,RCP2.6,Long (5-10 yr),Possible,53.78,Supplier contract pass-through,Mitigating,CRO Office,RND-SRT,Long-term cooling-water scarcity
CR-02056,Physical-Chronic,RCP2.6,Very Long (10-30 yr),Likely,3.14,PPA conversion to renewables,Closed,Group HR,RND-HYD,Long-term cooling-water scarcity
CR-02057,Physical-Chronic,RCP2.6,Very Long (10-30 yr),Likely,2.54,Workforce reskilling programme,Open,CRO Office,LOG-NSK,Long-term cooling-water scarcity
CR-02058,Physical-Chronic,RCP2.6,Very Long (10-30 yr),Rare,49.46,Hedging via carbon market,Mitigating,Group HR,REF-HZR,Long-term cooling-water scarcity
CR-02059,Physical-Chronic,RCP2.6,Very Long (10-30 yr),Rare,12.67,Supplier contract pass-through,Closed,Sustainability — Climate,FNC-LGL,Long-term cooling-water scarcity
CR-02060,Physical-Chronic,RCP2.6,Very Long (10-30 yr),Possible,27.9,Insurance coverage expanded,Mitigating,Strategy & Planning,PCH-VDR,Long-term cooling-water scarcity
CR-02061,Physical-Chronic,RCP2.6,Very Long (10-30 yr),Rare,2.57,Capex earmarked in 5-yr plan,Open,EHS Director,FW-GRI,Long-term cooling-water scarcity
CR-02062,Physical-Chronic,RCP2.6,Very Long (10-30 yr),Possible,165.86,Insurance coverage expanded,Mitigating,EHS Director,REG-STH,Long-term cooling-water scarcity
CR-02063,Physical-Chronic,RCP4.5,Short (0-2 yr),Rare,5.69,Vendor diversification programme,Open,Strategy & Planning,REG-STH,Long-term cooling-water scarcity
CR-02064,Physical-Chronic,RCP4.5,Short (0-2 yr),Possible,0.81,Vendor diversification programme,Mitigating,EHS Director,PJT-LIV,Long-term cooling-water scarcity
CR-02065,Physical-Chronic,RCP4.5,Short (0-2 yr),Rare,38.89,Vendor diversification programme,Mitigating,Treasury,PCH-GDR,Long-term cooling-water scarcity
CR-02066,Physical-Chronic,RCP4.5,Short (0-2 yr),Rare,2.85,Capex earmarked in 5-yr plan,Mitigating,Legal & Compliance,PJT-CIRC,Long-term cooling-water scarcity
CR-02067,Physical-Chronic,RCP4.5,Short (0-2 yr),Possible,5.14,Insurance coverage expanded,Open,Investor Relations,OFC-BBS,Long-term cooling-water scarcity
CR-02068,Physical-Chronic,RCP4.5,Short (0-2 yr),Rare,19.36,Vendor diversification programme,Mitigating,Sustainability — Climate,REG-NTH,Long-term cooling-water scarcity
CR-02069,Physical-Chronic,RCP4.5,Short (0-2 yr),Possible,38.68,PPA conversion to renewables,Closed,CRO Office,PJT-HRT,Long-term cooling-water scarcity
CR-02070,Physical-Chronic,RCP4.5,Medium (2-5 yr),Possible,0.59,Supplier contract pass-through,Open,Legal & Compliance,BIZ-PLM,Long-term cooling-water scarcity
CR-02071,Physical-Chronic,RCP4.5,Medium (2-5 yr),Possible,3.69,Site-level adaptation plan,Mitigating,Strategy & Planning,PJT-TAX,Long-term cooling-water scarcity
CR-02072,Physical-Chronic,RCP4.5,Medium (2-5 yr),Rare,5.63,Hedging via carbon market,Mitigating,Procurement,LOG-NSK,Long-term cooling-water scarcity
CR-02073,Physical-Chronic,RCP4.5,Medium (2-5 yr),Likely,4.43,PPA conversion to renewables,Mitigating,Investor Relations,FNC-COM,Long-term cooling-water scarcity
CR-02074,Physical-Chronic,RCP4.5,Medium (2-5 yr),Likely,6.47,Hedging via carbon market,Closed,Strategy & Planning,LOG-KCH,Long-term cooling-water scarcity
CR-02075,Physical-Chronic,RCP4.5,Medium (2-5 yr),Likely,7.39,Vendor diversification programme,Mitigating,Strategy & Planning,REF-HZR,Long-term cooling-water scarcity
CR-02076,Physical-Chronic,RCP4.5,Medium (2-5 yr),Likely,31.67,Vendor diversification programme,Open,Investor Relations,FW-IFRS,Long-term cooling-water scarcity
CR-02077,Physical-Chronic,RCP4.5,Medium (2-5 yr),Likely,1.33,Workforce reskilling programme,Mitigating,Plant Operations,MKT-B2C,Long-term cooling-water scarcity
CR-02078,Physical-Chronic,RCP4.5,Long (5-10 yr),Rare,144.64,Insurance coverage expanded,Mitigating,Treasury,FNC-IT,Long-term cooling-water scarcity
CR-02079,Physical-Chronic,RCP4.5,Long (5-10 yr),Possible,6.64,Hedging via carbon market,Mitigating,EHS Director,OFC-CMB,Long-term cooling-water scarcity
CR-02080,Physical-Chronic,RCP4.5,Long (5-10 yr),Likely,5.86,Workforce reskilling programme,Mitigating,Procurement,FW-TNFD,Long-term cooling-water scarcity
CR-02081,Physical-Chronic,RCP4.5,Long (5-10 yr),Rare,2.77,Vendor diversification programme,Mitigating,Strategy & Planning,FNC-CSR,Long-term cooling-water scarcity
CR-02082,Physical-Chronic,RCP4.5,Long (5-10 yr),Possible,2.62,Capex earmarked in 5-yr plan,Mitigating,Strategy & Planning,MKT-B2B,Long-term cooling-water scarcity
CR-02083,Physical-Chronic,RCP4.5,Very Long (10-30 yr),Rare,9.37,Insurance coverage expanded,Closed,Procurement,DST-LKO,Long-term cooling-water scarcity
CR-02084,Physical-Chronic,RCP4.5,Very Long (10-30 yr),Likely,8.6,Capex earmarked in 5-yr plan,Mitigating,Procurement,FNC-COM,Long-term cooling-water scarcity
CR-02085,Physical-Chronic,RCP4.5,Very Long (10-30 yr),Likely,25.71,Engineering controls — process,Mitigating,Group HR,BIZ-SPC,Long-term cooling-water scarcity
CR-02086,Physical-Chronic,RCP4.5,Very Long (10-30 yr),Likely,10.64,Insurance coverage expanded,Mitigating,EHS Director,PJT-EVS,Long-term cooling-water scarcity
CR-02087,Physical-Chronic,RCP4.5,Very Long (10-30 yr),Likely,4.66,Supplier contract pass-through,Mitigating,Plant Operations,MKT-DTC,Long-term cooling-water scarcity
CR-02088,Physical-Chronic,RCP8.5,Short (0-2 yr),Possible,8.44,Insurance coverage expanded,Mitigating,Sustainability — Climate,RSK-REG,Long-term cooling-water scarcity
CR-02089,Physical-Chronic,RCP8.5,Short (0-2 yr),Almost Certain,9.71,Hedging via carbon market,Mitigating,Plant Operations,FW-CDPW,Long-term cooling-water scarcity
CR-02090,Physical-Chronic,RCP8.5,Short (0-2 yr),Rare,45.41,Engineering controls — process,Open,Legal & Compliance,PJT-AUD,Long-term cooling-water scarcity
CR-02091,Physical-Chronic,RCP8.5,Short (0-2 yr),Almost Certain,67.95,Site-level adaptation plan,Mitigating,Group HR,RSK-LIT,Long-term cooling-water scarcity
CR-02092,Physical-Chronic,RCP8.5,Short (0-2 yr),Possible,24.53,Engineering controls — process,Closed,CRO Office,PCH-DHJ,Long-term cooling-water scarcity
CR-02093,Physical-Chronic,RCP8.5,Short (0-2 yr),Possible,18.54,Site-level adaptation plan,Open,CRO Office,OFC-BBS,Long-term cooling-water scarcity
CR-02094,Physical-Chronic,RCP8.5,Short (0-2 yr),Likely,8.74,Vendor diversification programme,Open,Plant Operations,PJT-LIV,Long-term cooling-water scarcity
CR-02095,Physical-Chronic,RCP8.5,Medium (2-5 yr),Rare,33.74,Hedging via carbon market,Mitigating,Legal & Compliance,PJT-SAF,Long-term cooling-water scarcity
CR-02096,Physical-Chronic,RCP8.5,Medium (2-5 yr),Likely,12.01,Capex earmarked in 5-yr plan,Closed,Group HR,REG-EST,Long-term cooling-water scarcity
CR-02097,Physical-Chronic,RCP8.5,Medium (2-5 yr),Possible,6.28,Vendor diversification programme,Closed,Legal & Compliance,PJT-TAX,Long-term cooling-water scarcity
CR-02098,Physical-Chronic,RCP8.5,Medium (2-5 yr),Likely,16.43,Site-level adaptation plan,Closed,CRO Office,PJT-COM,Long-term cooling-water scarcity
CR-02099,Physical-Chronic,RCP8.5,Medium (2-5 yr),Possible,13.4,Customer transition partnership,Mitigating,Legal & Compliance,BIZ-RNW,Long-term cooling-water scarcity
CR-02100,Physical-Chronic,RCP8.5,Medium (2-5 yr),Almost Certain,66.09,Customer transition partnership,Mitigating,CRO Office,LOG-TUT,Long-term cooling-water scarcity
CR-02101,Physical-Chronic,RCP8.5,Medium (2-5 yr),Possible,3.18,Capex earmarked in 5-yr plan,Closed,Treasury,BIZ-FUE,Long-term cooling-water scarcity
CR-02102,Physical-Chronic,RCP8.5,Medium (2-5 yr),Possible,3.9,PPA conversion to renewables,Mitigating,Strategy & Planning,PCH-PDP,Long-term cooling-water scarcity
CR-02103,Physical-Chronic,RCP8.5,Medium (2-5 yr),Likely,4.83,Vendor diversification programme,Open,Investor Relations,REG-AMR,Long-term cooling-water scarcity
CR-02104,Physical-Chronic,RCP8.5,Medium (2-5 yr),Likely,1.03,PPA conversion to renewables,Closed,Strategy & Planning,FW-CDP,Long-term cooling-water scarcity
CR-02105,Physical-Chronic,RCP8.5,Long (5-10 yr),Possible,10.7,Engineering controls — process,Mitigating,Procurement,REG-AMR,Long-term cooling-water scarcity
CR-02106,Physical-Chronic,RCP8.5,Long (5-10 yr),Rare,6.16,Vendor diversification programme,Open,Strategy & Planning,BIZ-FUE,Long-term cooling-water scarcity
CR-02107,Physical-Chronic,RCP8.5,Long (5-10 yr),Almost Certain,18.71,Customer transition partnership,Open,Sustainability — Climate,PJT-RNW,Long-term cooling-water scarcity
CR-02108,Physical-Chronic,RCP8.5,Long (5-10 yr),Possible,21.91,Site-level adaptation plan,Mitigating,Legal & Compliance,FW-CDP,Long-term cooling-water scarcity
CR-02109,Physical-Chronic,RCP8.5,Long (5-10 yr),Likely,0.66,Customer transition partnership,Mitigating,Group HR,PCH-JMG,Long-term cooling-water scarcity
CR-02110,Physical-Chronic,RCP8.5,Long (5-10 yr),Almost Certain,64.59,Supplier contract pass-through,Mitigating,Legal & Compliance,LOG-TUT,Long-term cooling-water scarcity
CR-02111,Physical-Chronic,RCP8.5,Very Long (10-30 yr),Likely,3.77,Site-level adaptation plan,Mitigating,Strategy & Planning,RND-HYD,Long-term cooling-water scarcity
CR-02112,Physical-Chronic,RCP8.5,Very Long (10-30 yr),Likely,24.49,Workforce reskilling programme,Open,Plant Operations,MKT-PSU,Long-term cooling-water scarcity
CR-02113,Physical-Chronic,RCP8.5,Very Long (10-30 yr),Possible,3.24,Engineering controls — process,Open,Procurement,PCH-HLD,Long-term cooling-water scarcity
CR-02114,Physical-Chronic,RCP8.5,Very Long (10-30 yr),Possible,35.29,Engineering controls — process,Closed,Procurement,FW-TCFD,Long-term cooling-water scarcity
CR-02115,Physical-Chronic,RCP8.5,Very Long (10-30 yr),Possible,17.12,Supplier contract pass-through,Mitigating,Investor Relations,BIZ-RNW,Long-term cooling-water scarcity
CR-02116,Physical-Chronic,NGFS-NetZero2050,Short (0-2 yr),Possible,10.96,Capex earmarked in 5-yr plan,Mitigating,Sustainability — Climate,FW-GRI,Monsoon variability impacting feedstock logistics
CR-02117,Physical-Chronic,NGFS-NetZero2050,Short (0-2 yr),Rare,1.84,Site-level adaptation plan,Closed,Legal & Compliance,HQ,Monsoon variability impacting feedstock logistics
CR-02118,Physical-Chronic,NGFS-NetZero2050,Short (0-2 yr),Likely,11.42,Workforce reskilling programme,Mitigating,EHS Director,FW-IFRS,Monsoon variability impacting feedstock logistics
CR-02119,Physical-Chronic,NGFS-NetZero2050,Short (0-2 yr),Possible,14.43,Workforce reskilling programme,Mitigating,Plant Operations,RSK-DAT,Monsoon variability impacting feedstock logistics
CR-02120,Physical-Chronic,NGFS-NetZero2050,Short (0-2 yr),Likely,5.62,Capex earmarked in 5-yr plan,Closed,CRO Office,PJT-CIRC,Monsoon variability impacting feedstock logistics
