control_id,process,esg_metric_linked,control_owner,test_date,deficiency_flag,remediation_status,sox_section,control_type,frequency,tester,evidence_doc_id,control_objective,business_unit,grc_tool
ICFR-ESG-01386,Diversity Metrics Compilation,G06,Sustainability — Climate,2025-09-20,Significant,Re-test Required,404,Detective,Weekly,Internal Audit (co-source — KPMG),AUD-FY25-Q2-001386,Ensure rights & obligations are properly recognised,PCH-GDR,MetricStream
ICFR-ESG-01387,Diversity Metrics Compilation,G19,Tax,2021-06-06,Deficiency,In Progress,404,Corrective,Daily,Internal Audit (in-house),AUD-FY21-Q1-001387,Ensure accuracy of recorded amounts and disclosures,PJT-HRT,MetricStream
ICFR-ESG-01388,Diversity Metrics Compilation,G24,Tax,2021-09-27,None,Not Applicable,404,Corrective,Daily,Internal Audit (co-source — EY),AUD-FY21-Q2-001388,Ensure ESG metric calculation conforms to GHG Protocol,RSK-BIO,OneTrust
ICFR-ESG-01389,Diversity Metrics Compilation,G08,Tax,2021-12-10,None,Not Applicable,404,Corrective,Daily,Internal Audit (co-source — KPMG),AUD-FY21-Q3-001389,Ensure accuracy of recorded amounts and disclosures,OFC-CMB,ServiceNow GRC
ICFR-ESG-01390,Diversity Metrics Compilation,S14,Tax,2022-03-18,None,Not Applicable,404,Corrective,Daily,Independent — PwC,AUD-FY21-Q4-001390,Ensure accuracy of recorded amounts and disclosures,MKT-OEM,ServiceNow GRC
ICFR-ESG-01391,Diversity Metrics Compilation,E01,Tax,2022-06-20,Material,In Progress,404,Corrective,Daily,Self-test (Process Owner),AUD-FY22-Q1-001391,Ensure proper cut-off of period-end transactions,OFC-DLH,OneTrust
ICFR-ESG-01392,Diversity Metrics Compilation,S14,Tax,2022-09-13,Deficiency,Tested — Passed,404,Corrective,Daily,Internal Audit (co-source — KPMG),AUD-FY22-Q2-001392,Ensure proper classification in financial statements,PJT-HRT,MetricStream
ICFR-ESG-01393,Diversity Metrics Compilation,E10,Tax,2022-12-07,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY22-Q3-001393,Ensure rights & obligations are properly recognised,PCH-VDR,MetricStream
ICFR-ESG-01394,Diversity Metrics Compilation,G19,Tax,2023-03-26,None,Not Applicable,404,Corrective,Daily,Internal Audit (co-source — KPMG),AUD-FY22-Q4-001394,Ensure accuracy of recorded amounts and disclosures,RSK-LIT,ServiceNow GRC
ICFR-ESG-01395,Diversity Metrics Compilation,G08,Tax,2023-06-14,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY23-Q1-001395,Ensure proper classification in financial statements,PJT-WTR,AuditBoard
ICFR-ESG-01396,Diversity Metrics Compilation,G08,Tax,2023-09-19,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY23-Q2-001396,Ensure proper cut-off of period-end transactions,OFC-KCH,ServiceNow GRC
ICFR-ESG-01397,Diversity Metrics Compilation,G19,Tax,2023-12-11,Significant,Tested — Failed,404,Corrective,Daily,Self-test (Process Owner),AUD-FY23-Q3-001397,Ensure completeness of recorded transactions in the period,MKT-B2B,OneTrust
ICFR-ESG-01398,Diversity Metrics Compilation,G06,Tax,2024-03-20,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY23-Q4-001398,Ensure accuracy of recorded amounts and disclosures,MKT-EXP,OneTrust
ICFR-ESG-01399,Diversity Metrics Compilation,E14,Tax,2024-06-17,None,Not Applicable,404,Corrective,Daily,Self-test (Process Owner),AUD-FY24-Q1-001399,Ensure proper authorisation of journal entries and adjustments,RND-HYD,Workiva
ICFR-ESG-01400,Diversity Metrics Compilation,E10,Tax,2024-09-15,None,Not Applicable,404,Corrective,Daily,Independent — PwC,AUD-FY24-Q2-001400,Ensure proper authorisation of journal entries and adjustments,OFC-AMD,ServiceNow GRC
ICFR-ESG-01401,Diversity Metrics Compilation,E01,Tax,2024-12-11,Deficiency,In Progress,404,Corrective,Daily,Internal Audit (co-source — KPMG),AUD-FY24-Q3-001401,Ensure timely and accurate climate disclosure filing,RSK-SUP,ServiceNow GRC
ICFR-ESG-01402,Diversity Metrics Compilation,E10,Tax,2025-03-07,Deficiency,Closed,404,Corrective,Daily,Internal Audit (in-house),AUD-FY24-Q4-001402,Ensure proper cut-off of period-end transactions,REG-STH,MetricStream
ICFR-ESG-01403,Diversity Metrics Compilation,G08,Tax,2025-06-21,Material,Re-test Required,404,Corrective,Daily,Independent — PwC,AUD-FY25-Q1-001403,Ensure existence of underlying assets and obligations,RND-PUN,Workiva
ICFR-ESG-01404,Diversity Metrics Compilation,G24,Tax,2025-09-07,Deficiency,Open,404,Corrective,Daily,Internal Audit (co-source — EY),AUD-FY25-Q2-001404,Ensure existence of underlying assets and obligations,OFC-KCH,MetricStream
ICFR-ESG-01405,Diversity Metrics Compilation,S14,Procurement,2021-06-23,Deficiency,Closed,404,Preventive,Daily,Self-test (Process Owner),AUD-FY21-Q1-001405,Ensure proper cut-off of period-end transactions,BIZ-PLM,OneTrust
ICFR-ESG-01406,Diversity Metrics Compilation,G24,Procurement,2021-09-24,Significant,Closed,404,Preventive,Daily,Self-test (Process Owner),AUD-FY21-Q2-001406,Ensure timely and accurate climate disclosure filing,BIZ-PCK,OneTrust
ICFR-ESG-01407,Diversity Metrics Compilation,G24,Procurement,2021-12-05,Material,Re-test Required,404,Preventive,Daily,Internal Audit (co-source — EY),AUD-FY21-Q3-001407,Ensure proper authorisation of journal entries and adjustments,FNC-HRM,Workiva
ICFR-ESG-01408,Diversity Metrics Compilation,S06,Procurement,2022-03-17,None,Not Applicable,404,Preventive,Daily,Independent — Deloitte,AUD-FY21-Q4-001408,Ensure ESG metric calculation conforms to GHG Protocol,OFC-DLH,OneTrust
ICFR-ESG-01409,Diversity Metrics Compilation,G19,Procurement,2022-06-24,None,Not Applicable,404,Preventive,Daily,Self-test (Process Owner),AUD-FY22-Q1-001409,Ensure proper classification in financial statements,REG-WST,OneTrust
ICFR-ESG-01410,Diversity Metrics Compilation,G24,Procurement,2022-09-22,Deficiency,Open,404,Preventive,Daily,Independent — PwC,AUD-FY22-Q2-001410,Ensure proper classification in financial statements,PJT-COC,OneTrust
ICFR-ESG-01411,Diversity Metrics Compilation,G06,Procurement,2022-12-21,Significant,In Progress,404,Preventive,Daily,Internal Audit (co-source — KPMG),AUD-FY22-Q3-001411,Ensure ESG metric calculation conforms to GHG Protocol,RSK-TRN,OneTrust
ICFR-ESG-01412,Diversity Metrics Compilation,E10,Procurement,2023-03-22,None,Not Applicable,404,Preventive,Daily,Internal Audit (co-source — EY),AUD-FY22-Q4-001412,Ensure timely and accurate climate disclosure filing,REG-EUR,OneTrust
ICFR-ESG-01413,Diversity Metrics Compilation,G24,Procurement,2023-06-20,None,Not Applicable,404,Preventive,Daily,Internal Audit (co-source — EY),AUD-FY23-Q1-001413,Ensure completeness of recorded transactions in the period,FW-CDP,AuditBoard
ICFR-ESG-01414,Diversity Metrics Compilation,G24,Procurement,2023-09-13,Material,Re-test Required,404,Preventive,Daily,Internal Audit (in-house),AUD-FY23-Q2-001414,Ensure proper classification in financial statements,BIZ-HYD,MetricStream
ICFR-ESG-01415,Diversity Metrics Compilation,G19,Procurement,2023-12-16,None,Not Applicable,404,Preventive,Daily,Independent — PwC,AUD-FY23-Q3-001415,Ensure proper cut-off of period-end transactions,OFC-CMB,ServiceNow GRC
ICFR-ESG-01416,Diversity Metrics Compilation,E10,Procurement,2024-03-06,Significant,Re-test Required,404,Preventive,Daily,Internal Audit (co-source — KPMG),AUD-FY23-Q4-001416,Ensure proper classification in financial statements,PCH-NGT,OneTrust
ICFR-ESG-01417,Diversity Metrics Compilation,G08,Procurement,2024-06-08,None,Not Applicable,404,Preventive,Daily,Internal Audit (co-source — KPMG),AUD-FY24-Q1-001417,Ensure proper authorisation of journal entries and adjustments,LOG-MNG,Workiva
ICFR-ESG-01418,Diversity Metrics Compilation,E01,Procurement,2024-09-23,None,Not Applicable,404,Preventive,Daily,Self-test (Process Owner),AUD-FY24-Q2-001418,Ensure accuracy of recorded amounts and disclosures,FW-TCFD,AuditBoard
ICFR-ESG-01419,Diversity Metrics Compilation,S06,Procurement,2024-12-12,Deficiency,In Progress,404,Preventive,Daily,Independent — Deloitte,AUD-FY24-Q3-001419,Ensure accuracy of recorded amounts and disclosures,PJT-COM,MetricStream
ICFR-ESG-01420,Diversity Metrics Compilation,G08,Procurement,2025-03-25,None,Not Applicable,404,Preventive,Daily,Self-test (Process Owner),AUD-FY24-Q4-001420,Ensure existence of underlying assets and obligations,PJT-WTR,ServiceNow GRC
ICFR-ESG-01421,Diversity Metrics Compilation,G06,Procurement,2025-06-16,None,Not Applicable,404,Preventive,Daily,Independent — Deloitte,AUD-FY25-Q1-001421,Ensure proper cut-off of period-end transactions,PJT-SAF,AuditBoard
ICFR-ESG-01422,Diversity Metrics Compilation,G19,Procurement,2025-09-26,None,Not Applicable,404,Preventive,Daily,Internal Audit (co-source — EY),AUD-FY25-Q2-001422,Ensure timely and accurate climate disclosure filing,DST-KOL,MetricStream
ICFR-ESG-01423,Diversity Metrics Compilation,E14,IT Risk,2021-06-28,None,Not Applicable,404,Preventive,Annual,Internal Audit (co-source — EY),AUD-FY21-Q1-001423,Ensure existence of underlying assets and obligations,PJT-WTR,MetricStream
ICFR-ESG-01424,Diversity Metrics Compilation,G19,IT Risk,2021-09-16,None,Not Applicable,404,Preventive,Annual,Independent — PwC,AUD-FY21-Q2-001424,Ensure ESG data lineage and source traceability,FW-SASB,AuditBoard
ICFR-ESG-01425,Diversity Metrics Compilation,G24,IT Risk,2021-12-07,Significant,Closed,404,Preventive,Annual,Internal Audit (in-house),AUD-FY21-Q3-001425,Ensure proper authorisation of journal entries and adjustments,LOG-TUT,AuditBoard
ICFR-ESG-01426,Diversity Metrics Compilation,G06,IT Risk,2022-03-13,Deficiency,Tested — Passed,404,Preventive,Annual,Self-test (Process Owner),AUD-FY21-Q4-001426,Ensure proper authorisation of journal entries and adjustments,MKT-B2C,ServiceNow GRC
ICFR-ESG-01427,Diversity Metrics Compilation,G19,IT Risk,2022-06-17,None,Not Applicable,404,Preventive,Annual,Internal Audit (co-source — EY),AUD-FY22-Q1-001427,Ensure existence of underlying assets and obligations,FW-GRI,MetricStream
ICFR-ESG-01428,Diversity Metrics Compilation,G19,IT Risk,2022-09-05,None,Not Applicable,404,Preventive,Annual,Internal Audit (in-house),AUD-FY22-Q2-001428,Ensure proper authorisation of journal entries and adjustments,REG-EST,ServiceNow GRC
ICFR-ESG-01429,Diversity Metrics Compilation,G06,IT Risk,2022-12-16,None,Not Applicable,404,Preventive,Annual,Internal Audit (co-source — EY),AUD-FY22-Q3-001429,Ensure ESG metric calculation conforms to GHG Protocol,BIZ-FUE,AuditBoard
ICFR-ESG-01430,Diversity Metrics Compilation,G24,IT Risk,2023-03-09,Significant,Closed,404,Preventive,Annual,Internal Audit (in-house),AUD-FY22-Q4-001430,Ensure proper classification in financial statements,PJT-SAF,ServiceNow GRC
ICFR-ESG-01431,Diversity Metrics Compilation,E10,IT Risk,2023-06-23,Material,Open,404,Preventive,Annual,Self-test (Process Owner),AUD-FY23-Q1-001431,Ensure timely and accurate climate disclosure filing,BIZ-FUE,Workiva
ICFR-ESG-01432,Diversity Metrics Compilation,G08,IT Risk,2023-09-26,Significant,Closed,404,Preventive,Annual,Independent — Deloitte,AUD-FY23-Q2-001432,Ensure existence of underlying assets and obligations,RSK-PHY,AuditBoard
ICFR-ESG-01433,Diversity Metrics Compilation,E01,IT Risk,2023-12-20,Deficiency,Open,404,Preventive,Annual,Self-test (Process Owner),AUD-FY23-Q3-001433,Ensure timely and accurate climate disclosure filing,RND-HYD,MetricStream
ICFR-ESG-01434,Diversity Metrics Compilation,E01,IT Risk,2024-03-05,Material,Re-test Required,404,Preventive,Annual,Independent — Deloitte,AUD-FY23-Q4-001434,Ensure proper authorisation of journal entries and adjustments,OFC-CHN,AuditBoard
ICFR-ESG-01435,Diversity Metrics Compilation,E14,IT Risk,2024-06-05,Significant,Closed,404,Preventive,Annual,Internal Audit (in-house),AUD-FY24-Q1-001435,Ensure ESG metric calculation conforms to GHG Protocol,PJT-AUD,OneTrust
ICFR-ESG-01436,Diversity Metrics Compilation,G06,IT Risk,2024-09-15,None,Not Applicable,404,Preventive,Annual,Internal Audit (in-house),AUD-FY24-Q2-001436,Ensure existence of underlying assets and obligations,BIZ-AGR,Workiva
ICFR-ESG-01437,Diversity Metrics Compilation,E01,IT Risk,2024-12-28,Material,In Progress,404,Preventive,Annual,Independent — PwC,AUD-FY24-Q3-001437,Ensure proper classification in financial statements,BIZ-PCK,Workiva
ICFR-ESG-01438,Diversity Metrics Compilation,G06,IT Risk,2025-03-20,None,Not Applicable,404,Preventive,Annual,Internal Audit (co-source — EY),AUD-FY24-Q4-001438,Ensure ESG metric calculation conforms to GHG Protocol,REG-WST,Workiva
ICFR-ESG-01439,Diversity Metrics Compilation,G06,IT Risk,2025-06-26,Deficiency,Closed,404,Preventive,Annual,Self-test (Process Owner),AUD-FY25-Q1-001439,Ensure proper classification in financial statements,MKT-B2B,OneTrust
ICFR-ESG-01440,Diversity Metrics Compilation,E01,IT Risk,2025-09-11,Deficiency,Tested — Passed,404,Preventive,Annual,Internal Audit (in-house),AUD-FY25-Q2-001440,Ensure ESG data lineage and source traceability,RSK-REG,AuditBoard
ICFR-ESG-01441,Diversity Metrics Compilation,G06,ESG Reporting,2021-06-11,None,Not Applicable,404,Preventive,Quarterly,Internal Audit (in-house),AUD-FY21-Q1-001441,Ensure existence of underlying assets and obligations,BIZ-RNW,MetricStream
ICFR-ESG-01442,Diversity Metrics Compilation,G24,ESG Reporting,2021-09-05,None,Not Applicable,404,Preventive,Quarterly,Independent — PwC,AUD-FY21-Q2-001442,Ensure proper classification in financial statements,OFC-CMB,OneTrust
ICFR-ESG-01443,Diversity Metrics Compilation,S14,ESG Reporting,2021-12-18,Material,Re-test Required,404,Preventive,Quarterly,Independent — PwC,AUD-FY21-Q3-001443,Ensure rights & obligations are properly recognised,FNC-CSR,ServiceNow GRC
ICFR-ESG-01444,Diversity Metrics Compilation,G06,ESG Reporting,2022-03-12,None,Not Applicable,404,Preventive,Quarterly,Self-test (Process Owner),AUD-FY21-Q4-001444,Ensure timely and accurate climate disclosure filing,FNC-PRC,Workiva
ICFR-ESG-01445,Diversity Metrics Compilation,E10,ESG Reporting,2022-06-06,Deficiency,Closed,404,Preventive,Quarterly,Internal Audit (co-source — EY),AUD-FY22-Q1-001445,Ensure ESG data lineage and source traceability,REG-WST,ServiceNow GRC
ICFR-ESG-01446,Diversity Metrics Compilation,E01,ESG Reporting,2022-09-18,Significant,In Progress,404,Preventive,Quarterly,Internal Audit (in-house),AUD-FY22-Q2-001446,Ensure rights & obligations are properly recognised,RSK-BIO,OneTrust
ICFR-ESG-01447,Diversity Metrics Compilation,G24,ESG Reporting,2022-12-26,None,Not Applicable,404,Preventive,Quarterly,Internal Audit (in-house),AUD-FY22-Q3-001447,Ensure existence of underlying assets and obligations,FW-CDP,AuditBoard
ICFR-ESG-01448,Diversity Metrics Compilation,G08,ESG Reporting,2023-03-19,None,Not Applicable,404,Preventive,Quarterly,Self-test (Process Owner),AUD-FY22-Q4-001448,Ensure proper authorisation of journal entries and adjustments,DST-KOL,OneTrust
ICFR-ESG-01449,Diversity Metrics Compilation,E01,ESG Reporting,2023-06-17,Deficiency,Closed,404,Preventive,Quarterly,Internal Audit (co-source — KPMG),AUD-FY23-Q1-001449,Ensure completeness of recorded transactions in the period,PCH-VDR,Workiva
ICFR-ESG-01450,Diversity Metrics Compilation,S14,ESG Reporting,2023-09-06,Significant,Closed,404,Preventive,Quarterly,Internal Audit (in-house),AUD-FY23-Q2-001450,Ensure ESG metric calculation conforms to GHG Protocol,FW-CDP,AuditBoard
ICFR-ESG-01451,Diversity Metrics Compilation,G19,ESG Reporting,2023-12-20,Material,Open,404,Preventive,Quarterly,Independent — Deloitte,AUD-FY23-Q3-001451,Ensure proper cut-off of period-end transactions,RSK-TRN,AuditBoard
ICFR-ESG-01452,Diversity Metrics Compilation,G24,ESG Reporting,2024-03-18,None,Not Applicable,404,Preventive,Quarterly,Internal Audit (co-source — KPMG),AUD-FY23-Q4-001452,Ensure ESG metric calculation conforms to GHG Protocol,PJT-WTR,OneTrust
ICFR-ESG-01453,Diversity Metrics Compilation,G08,ESG Reporting,2024-06-20,Significant,Closed,404,Preventive,Quarterly,Internal Audit (in-house),AUD-FY24-Q1-001453,Ensure ESG data lineage and source traceability,PJT-SAF,OneTrust
ICFR-ESG-01454,Diversity Metrics Compilation,G24,ESG Reporting,2024-09-27,None,Not Applicable,404,Preventive,Quarterly,Internal Audit (co-source — KPMG),AUD-FY24-Q2-001454,Ensure proper classification in financial statements,RND-HYD,Workiva
ICFR-ESG-01455,Diversity Metrics Compilation,G19,ESG Reporting,2024-12-24,Deficiency,In Progress,404,Preventive,Quarterly,Self-test (Process Owner),AUD-FY24-Q3-001455,Ensure rights & obligations are properly recognised,RSK-REP,AuditBoard
ICFR-ESG-01456,Diversity Metrics Compilation,G08,ESG Reporting,2025-03-05,None,Not Applicable,404,Preventive,Quarterly,Internal Audit (co-source — KPMG),AUD-FY24-Q4-001456,Ensure accuracy of recorded amounts and disclosures,RSK-TRN,MetricStream
ICFR-ESG-01457,Diversity Metrics Compilation,G08,ESG Reporting,2025-06-21,None,Not Applicable,404,Preventive,Quarterly,Self-test (Process Owner),AUD-FY25-Q1-001457,Ensure ESG metric calculation conforms to GHG Protocol,PJT-CIRC,MetricStream
ICFR-ESG-01458,Diversity Metrics Compilation,S14,ESG Reporting,2025-09-05,Material,Open,404,Preventive,Quarterly,Internal Audit (co-source — EY),AUD-FY25-Q2-001458,Ensure completeness of recorded transactions in the period,LOG-MNG,AuditBoard
ICFR-ESG-01459,Diversity Metrics Compilation,G24,IT Risk,2021-06-11,None,Not Applicable,404,Corrective,Daily,Self-test (Process Owner),AUD-FY21-Q1-001459,Ensure proper authorisation of journal entries and adjustments,DST-IND,MetricStream
ICFR-ESG-01460,Diversity Metrics Compilation,S14,IT Risk,2021-09-17,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY21-Q2-001460,Ensure existence of underlying assets and obligations,BIZ-AGR,AuditBoard
ICFR-ESG-01461,Diversity Metrics Compilation,E01,IT Risk,2021-12-13,Material,In Progress,404,Corrective,Daily,Internal Audit (in-house),AUD-FY21-Q3-001461,Ensure accuracy of recorded amounts and disclosures,BIZ-RNW,AuditBoard
ICFR-ESG-01462,Diversity Metrics Compilation,G08,IT Risk,2022-03-11,None,Not Applicable,404,Corrective,Daily,Independent — PwC,AUD-FY21-Q4-001462,Ensure timely and accurate climate disclosure filing,RSK-REP,ServiceNow GRC
ICFR-ESG-01463,Diversity Metrics Compilation,S14,IT Risk,2022-06-13,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY22-Q1-001463,Ensure rights & obligations are properly recognised,REG-AMR,AuditBoard
ICFR-ESG-01464,Diversity Metrics Compilation,E14,IT Risk,2022-09-16,Material,Open,404,Corrective,Daily,Internal Audit (co-source — KPMG),AUD-FY22-Q2-001464,Ensure proper classification in financial statements,PJT-EVS,AuditBoard
ICFR-ESG-01465,Diversity Metrics Compilation,E10,IT Risk,2022-12-28,Material,In Progress,404,Corrective,Daily,Independent — PwC,AUD-FY22-Q3-001465,Ensure rights & obligations are properly recognised,FNC-COR,Workiva
ICFR-ESG-01466,Diversity Metrics Compilation,E14,IT Risk,2023-03-08,None,Not Applicable,404,Corrective,Daily,Self-test (Process Owner),AUD-FY22-Q4-001466,Ensure ESG data lineage and source traceability,DST-IND,AuditBoard
ICFR-ESG-01467,Diversity Metrics Compilation,G19,IT Risk,2023-06-19,None,Not Applicable,404,Corrective,Daily,Independent — Deloitte,AUD-FY23-Q1-001467,Ensure accuracy of recorded amounts and disclosures,PJT-RNW,AuditBoard
ICFR-ESG-01468,Diversity Metrics Compilation,E14,IT Risk,2023-09-13,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY23-Q2-001468,Ensure existence of underlying assets and obligations,BIZ-PCK,OneTrust
ICFR-ESG-01469,Diversity Metrics Compilation,E10,IT Risk,2023-12-06,None,Not Applicable,404,Corrective,Daily,Internal Audit (co-source — EY),AUD-FY23-Q3-001469,Ensure completeness of recorded transactions in the period,PJT-HRT,ServiceNow GRC
ICFR-ESG-01470,Diversity Metrics Compilation,G19,IT Risk,2024-03-09,None,Not Applicable,404,Corrective,Daily,Internal Audit (co-source — KPMG),AUD-FY23-Q4-001470,Ensure proper classification in financial statements,RSK-SUP,Workiva
ICFR-ESG-01471,Diversity Metrics Compilation,S14,IT Risk,2024-06-12,Material,Open,404,Corrective,Daily,Internal Audit (co-source — KPMG),AUD-FY24-Q1-001471,Ensure ESG metric calculation conforms to GHG Protocol,MKT-B2C,Workiva
ICFR-ESG-01472,Diversity Metrics Compilation,G06,IT Risk,2024-09-19,None,Not Applicable,404,Corrective,Daily,Internal Audit (in-house),AUD-FY24-Q2-001472,Ensure accuracy of recorded amounts and disclosures,PJT-NETZ,OneTrust
ICFR-ESG-01473,Diversity Metrics Compilation,E10,IT Risk,2024-12-06,None,Not Applicable,404,Corrective,Daily,Independent — Deloitte,AUD-FY24-Q3-001473,Ensure rights & obligations are properly recognised,PCH-GDR,MetricStream
ICFR-ESG-01474,Diversity Metrics Compilation,G08,IT Risk,2025-03-15,Significant,Closed,404,Corrective,Daily,Independent — Deloitte,AUD-FY24-Q4-001474,Ensure proper cut-off of period-end transactions,RSK-PHY,ServiceNow GRC
ICFR-ESG-01475,Diversity Metrics Compilation,S14,IT Risk,2025-06-27,Material,Open,404,Corrective,Daily,Independent — PwC,AUD-FY25-Q1-001475,Ensure existence of underlying assets and obligations,MKT-DTC,AuditBoard
ICFR-ESG-01476,Diversity Metrics Compilation,G06,IT Risk,2025-09-21,None,Not Applicable,404,Corrective,Daily,Internal Audit (co-source — EY),AUD-FY25-Q2-001476,Ensure proper authorisation of journal entries and adjustments,MKT-OEM,ServiceNow GRC
ICFR-ESG-01477,Diversity Metrics Compilation,E14,IT Risk,2021-06-08,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (co-source — KPMG),AUD-FY21-Q1-001477,Ensure rights & obligations are properly recognised,MKT-DST,OneTrust
ICFR-ESG-01478,Diversity Metrics Compilation,G06,IT Risk,2021-09-19,Material,In Progress,404,Corrective,Quarterly,Self-test (Process Owner),AUD-FY21-Q2-001478,Ensure proper classification in financial statements,FW-IFRS,Workiva
ICFR-ESG-01479,Diversity Metrics Compilation,E14,IT Risk,2021-12-13,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (co-source — EY),AUD-FY21-Q3-001479,Ensure proper authorisation of journal entries and adjustments,OFC-AMD,ServiceNow GRC
ICFR-ESG-01480,Diversity Metrics Compilation,E10,IT Risk,2022-03-15,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (in-house),AUD-FY21-Q4-001480,Ensure proper cut-off of period-end transactions,RSK-TRN,OneTrust
ICFR-ESG-01481,Diversity Metrics Compilation,E10,IT Risk,2022-06-19,Deficiency,Closed,404,Corrective,Quarterly,Independent — PwC,AUD-FY22-Q1-001481,Ensure completeness of recorded transactions in the period,REG-AMR,Workiva
ICFR-ESG-01482,Diversity Metrics Compilation,G19,IT Risk,2022-09-25,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (co-source — KPMG),AUD-FY22-Q2-001482,Ensure accuracy of recorded amounts and disclosures,RSK-CYB,AuditBoard
ICFR-ESG-01483,Diversity Metrics Compilation,E10,IT Risk,2022-12-15,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (in-house),AUD-FY22-Q3-001483,Ensure rights & obligations are properly recognised,BIZ-SPC,Workiva
ICFR-ESG-01484,Diversity Metrics Compilation,G24,IT Risk,2023-03-20,Significant,Closed,404,Corrective,Quarterly,Independent — PwC,AUD-FY22-Q4-001484,Ensure rights & obligations are properly recognised,REG-NTH,Workiva
ICFR-ESG-01485,Diversity Metrics Compilation,S06,IT Risk,2023-06-18,None,Not Applicable,404,Corrective,Quarterly,Independent — Deloitte,AUD-FY23-Q1-001485,Ensure rights & obligations are properly recognised,RSK-DAT,ServiceNow GRC
ICFR-ESG-01486,Diversity Metrics Compilation,S06,IT Risk,2023-09-16,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (in-house),AUD-FY23-Q2-001486,Ensure ESG data lineage and source traceability,FW-IFRS,AuditBoard
ICFR-ESG-01487,Diversity Metrics Compilation,G08,IT Risk,2023-12-07,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (co-source — EY),AUD-FY23-Q3-001487,Ensure ESG metric calculation conforms to GHG Protocol,LOG-KND,ServiceNow GRC
ICFR-ESG-01488,Diversity Metrics Compilation,G08,IT Risk,2024-03-10,Significant,Closed,404,Corrective,Quarterly,Independent — Deloitte,AUD-FY23-Q4-001488,Ensure completeness of recorded transactions in the period,RSK-REG,Workiva
ICFR-ESG-01489,Diversity Metrics Compilation,G06,IT Risk,2024-06-06,None,Not Applicable,404,Corrective,Quarterly,Self-test (Process Owner),AUD-FY24-Q1-001489,Ensure existence of underlying assets and obligations,BIZ-HYD,Workiva
ICFR-ESG-01490,Diversity Metrics Compilation,G08,IT Risk,2024-09-18,Deficiency,Tested — Passed,404,Corrective,Quarterly,Independent — Deloitte,AUD-FY24-Q2-001490,Ensure ESG data lineage and source traceability,PJT-BIO,Workiva
ICFR-ESG-01491,Diversity Metrics Compilation,E01,IT Risk,2024-12-10,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (in-house),AUD-FY24-Q3-001491,Ensure proper authorisation of journal entries and adjustments,PJT-DEI,Workiva
ICFR-ESG-01492,Diversity Metrics Compilation,G08,IT Risk,2025-03-25,Deficiency,Open,404,Corrective,Quarterly,Internal Audit (co-source — EY),AUD-FY24-Q4-001492,Ensure timely and accurate climate disclosure filing,PJT-DAT,MetricStream
ICFR-ESG-01493,Diversity Metrics Compilation,S06,IT Risk,2025-06-15,None,Not Applicable,404,Corrective,Quarterly,Self-test (Process Owner),AUD-FY25-Q1-001493,Ensure ESG metric calculation conforms to GHG Protocol,OFC-BBS,OneTrust
ICFR-ESG-01494,Diversity Metrics Compilation,G24,IT Risk,2025-09-23,Significant,Tested — Failed,404,Corrective,Quarterly,Independent — PwC,AUD-FY25-Q2-001494,Ensure proper cut-off of period-end transactions,FW-SBTI,AuditBoard
ICFR-ESG-01495,Health & Safety Incident Reporting,G06,Treasury,2021-06-10,Significant,Tested — Failed,404,Preventive,Weekly,Self-test (Process Owner),AUD-FY21-Q1-001495,Ensure rights & obligations are properly recognised,PJT-COM,OneTrust
ICFR-ESG-01496,Health & Safety Incident Reporting,S14,Treasury,2021-09-18,None,Not Applicable,404,Preventive,Weekly,Independent — PwC,AUD-FY21-Q2-001496,Ensure proper authorisation of journal entries and adjustments,DST-LKO,ServiceNow GRC
ICFR-ESG-01497,Health & Safety Incident Reporting,S14,Treasury,2021-12-17,None,Not Applicable,404,Preventive,Weekly,Internal Audit (co-source — KPMG),AUD-FY21-Q3-001497,Ensure existence of underlying assets and obligations,RND-HYD,AuditBoard
ICFR-ESG-01498,Health & Safety Incident Reporting,G19,Treasury,2022-03-11,Significant,In Progress,404,Preventive,Weekly,Internal Audit (in-house),AUD-FY21-Q4-001498,Ensure ESG data lineage and source traceability,PCH-GDR,AuditBoard
ICFR-ESG-01499,Health & Safety Incident Reporting,S14,Treasury,2022-06-09,Deficiency,In Progress,404,Preventive,Weekly,Independent — PwC,AUD-FY22-Q1-001499,Ensure proper classification in financial statements,FNC-COM,MetricStream
