year,quarter,scope,category,subcategory,facility,facility_type,emissions_tco2e,unit,source,methodology,verified_by,confidence
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Hazira Refinery,Refinery,869.974,tCO2e,Hazira Refinery — Annual commuter survey,API Compendium 2009,TUV Nord (limited),0.91
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Hazira Refinery,Refinery,3410.413,tCO2e,Hazira Refinery — Supplier invoice EEIO,API Compendium 2009,DNV (limited),0.79
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Hazira Refinery,Refinery,2438.013,tCO2e,Hazira Refinery — 3PL freight ledgers,EPA Emission Factors Hub 2024,TUV Nord (reasonable),0.83
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Hazira Refinery,Refinery,1265.131,tCO2e,Hazira Refinery — Project capex registers,IPCC 2006 Tier-1,TUV Nord (reasonable),0.93
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Hazira Refinery,Refinery,1468.956,tCO2e,Hazira Refinery — Waste contractor data,CEA Grid Factor v20.0,TUV Nord (limited),0.88
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Jamnagar Polymer Plant,Petchem,4296.116,tCO2e,Jamnagar Polymer Plant — Boiler & furnace fuel logs,API Compendium 2009,,0.96
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Jamnagar Polymer Plant,Petchem,1679.863,tCO2e,Jamnagar Polymer Plant — Fleet fuel cards,IPCC 2006 Tier-2,DNV (limited),0.84
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Jamnagar Polymer Plant,Petchem,4682.018,tCO2e,Jamnagar Polymer Plant — Process mass balance,GHG Protocol Cross-Sector,TUV Nord (limited),0.92
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Jamnagar Polymer Plant,Petchem,985.783,tCO2e,Jamnagar Polymer Plant — LDAR programme,CEA Grid Factor v20.0,Internal — EHS team,0.95
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Jamnagar Polymer Plant,Petchem,4771.907,tCO2e,Jamnagar Polymer Plant — DISCOM utility bills,API Compendium 2009,ERM (reasonable),0.97
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Jamnagar Polymer Plant,Petchem,936.469,tCO2e,Jamnagar Polymer Plant — Steam supply contract,DEFRA UK 2024,BSI (limited),0.83
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Jamnagar Polymer Plant,Petchem,580.419,tCO2e,Jamnagar Polymer Plant — Concur travel exports,IPCC 2006 Tier-2,TUV Nord (reasonable),0.84
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Jamnagar Polymer Plant,Petchem,912.237,tCO2e,Jamnagar Polymer Plant — Annual commuter survey,IPCC 2006 Tier-1,Internal — EHS team,0.91
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Jamnagar Polymer Plant,Petchem,3173.232,tCO2e,Jamnagar Polymer Plant — Supplier invoice EEIO,IPCC 2006 Tier-2,BSI (limited),0.92
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Jamnagar Polymer Plant,Petchem,1813.335,tCO2e,Jamnagar Polymer Plant — 3PL freight ledgers,EPA Emission Factors Hub 2024,BSI (limited),0.96
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Jamnagar Polymer Plant,Petchem,1212.535,tCO2e,Jamnagar Polymer Plant — Project capex registers,DEFRA UK 2024,Internal — EHS team,0.81
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Jamnagar Polymer Plant,Petchem,1266.275,tCO2e,Jamnagar Polymer Plant — Waste contractor data,API Compendium 2009,BSI (limited),0.95
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Vadodara Chemicals,Petchem,2932.025,tCO2e,Vadodara Chemicals — Boiler & furnace fuel logs,IPCC 2006 Tier-1,DNV (limited),0.94
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Vadodara Chemicals,Petchem,1178.66,tCO2e,Vadodara Chemicals — Fleet fuel cards,GLEC Framework 3.0,TUV Nord (reasonable),0.94
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Vadodara Chemicals,Petchem,3186.406,tCO2e,Vadodara Chemicals — Process mass balance,GHG Protocol Cross-Sector,TUV Nord (reasonable),0.9
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Vadodara Chemicals,Petchem,728.142,tCO2e,Vadodara Chemicals — LDAR programme,EPA Emission Factors Hub 2024,DNV (limited),0.9
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Vadodara Chemicals,Petchem,3238.869,tCO2e,Vadodara Chemicals — DISCOM utility bills,IPCC 2006 Tier-2,BSI (limited),0.91
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Vadodara Chemicals,Petchem,657.883,tCO2e,Vadodara Chemicals — Steam supply contract,IPCC 2006 Tier-1,BSI (limited),0.88
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Vadodara Chemicals,Petchem,287.951,tCO2e,Vadodara Chemicals — Concur travel exports,GLEC Framework 3.0,DNV (limited),0.79
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Vadodara Chemicals,Petchem,492.901,tCO2e,Vadodara Chemicals — Annual commuter survey,DEFRA UK 2024,BSI (limited),0.85
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Vadodara Chemicals,Petchem,1940.139,tCO2e,Vadodara Chemicals — Supplier invoice EEIO,IPCC 2006 Tier-3,BSI (limited),0.91
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Vadodara Chemicals,Petchem,1406.565,tCO2e,Vadodara Chemicals — 3PL freight ledgers,GHG Protocol Cross-Sector,,0.84
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Vadodara Chemicals,Petchem,770.349,tCO2e,Vadodara Chemicals — Project capex registers,IPCC 2006 Tier-3,,0.79
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Vadodara Chemicals,Petchem,733.952,tCO2e,Vadodara Chemicals — Waste contractor data,IPCC 2006 Tier-2,TUV Nord (limited),0.81
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Paradip Plant,Petchem,2761.389,tCO2e,Paradip Plant — Boiler & furnace fuel logs,DEFRA UK 2024,,0.85
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Paradip Plant,Petchem,889.586,tCO2e,Paradip Plant — Fleet fuel cards,EPA Emission Factors Hub 2024,,0.78
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Paradip Plant,Petchem,2370.075,tCO2e,Paradip Plant — Process mass balance,CEA Grid Factor v20.0,BSI (limited),0.79
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Paradip Plant,Petchem,590.064,tCO2e,Paradip Plant — LDAR programme,GLEC Framework 3.0,DNV (limited),0.85
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Paradip Plant,Petchem,3225.308,tCO2e,Paradip Plant — DISCOM utility bills,IPCC 2006 Tier-3,TUV Nord (limited),0.9
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Paradip Plant,Petchem,482.232,tCO2e,Paradip Plant — Steam supply contract,CEA Grid Factor v20.0,BSI (limited),0.81
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Paradip Plant,Petchem,304.357,tCO2e,Paradip Plant — Concur travel exports,GLEC Framework 3.0,TUV Nord (limited),0.88
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Paradip Plant,Petchem,481.238,tCO2e,Paradip Plant — Annual commuter survey,CEA Grid Factor v20.0,Internal — EHS team,0.88
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Paradip Plant,Petchem,1630.26,tCO2e,Paradip Plant — Supplier invoice EEIO,CEA Grid Factor v20.0,ERM (reasonable),0.8
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Paradip Plant,Petchem,1054.355,tCO2e,Paradip Plant — 3PL freight ledgers,GHG Protocol Cross-Sector,BSI (limited),0.95
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Paradip Plant,Petchem,650.885,tCO2e,Paradip Plant — Project capex registers,API Compendium 2009,TUV Nord (reasonable),0.92
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Paradip Plant,Petchem,592.381,tCO2e,Paradip Plant — Waste contractor data,API Compendium 2009,TUV Nord (reasonable),0.94
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Haldia Petchem,Petchem,2556.238,tCO2e,Haldia Petchem — Boiler & furnace fuel logs,GLEC Framework 3.0,Internal — EHS team,0.92
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Haldia Petchem,Petchem,859.544,tCO2e,Haldia Petchem — Fleet fuel cards,CEA Grid Factor v20.0,TUV Nord (reasonable),0.87
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Haldia Petchem,Petchem,1672.048,tCO2e,Haldia Petchem — Process mass balance,API Compendium 2009,ERM (reasonable),0.93
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Haldia Petchem,Petchem,489.767,tCO2e,Haldia Petchem — LDAR programme,CEA Grid Factor v20.0,TUV Nord (reasonable),0.89
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Haldia Petchem,Petchem,2646.405,tCO2e,Haldia Petchem — DISCOM utility bills,IPCC 2006 Tier-3,Internal — EHS team,0.89
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Haldia Petchem,Petchem,438.856,tCO2e,Haldia Petchem — Steam supply contract,IPCC 2006 Tier-1,TUV Nord (reasonable),0.93
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Haldia Petchem,Petchem,229.161,tCO2e,Haldia Petchem — Concur travel exports,IPCC 2006 Tier-3,DNV (limited),0.84
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Haldia Petchem,Petchem,403.138,tCO2e,Haldia Petchem — Annual commuter survey,IPCC 2006 Tier-1,ERM (reasonable),0.94
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Haldia Petchem,Petchem,1234.864,tCO2e,Haldia Petchem — Supplier invoice EEIO,CEA Grid Factor v20.0,TUV Nord (limited),0.9
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Haldia Petchem,Petchem,934.034,tCO2e,Haldia Petchem — 3PL freight ledgers,IPCC 2006 Tier-3,DNV (limited),0.83
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Haldia Petchem,Petchem,479.2,tCO2e,Haldia Petchem — Project capex registers,IPCC 2006 Tier-2,TUV Nord (reasonable),0.91
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Haldia Petchem,Petchem,476.286,tCO2e,Haldia Petchem — Waste contractor data,IPCC 2006 Tier-2,TUV Nord (limited),0.81
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Gandhar Gas Cracker,Petchem,2138.868,tCO2e,Gandhar Gas Cracker — Boiler & furnace fuel logs,IPCC 2006 Tier-3,TUV Nord (reasonable),0.85
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Gandhar Gas Cracker,Petchem,776.706,tCO2e,Gandhar Gas Cracker — Fleet fuel cards,GLEC Framework 3.0,BSI (limited),0.79
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Gandhar Gas Cracker,Petchem,1462.557,tCO2e,Gandhar Gas Cracker — Process mass balance,CEA Grid Factor v20.0,TUV Nord (reasonable),0.88
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Gandhar Gas Cracker,Petchem,492.73,tCO2e,Gandhar Gas Cracker — LDAR programme,EPA Emission Factors Hub 2024,DNV (limited),0.84
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Gandhar Gas Cracker,Petchem,2408.623,tCO2e,Gandhar Gas Cracker — DISCOM utility bills,IPCC 2006 Tier-1,TUV Nord (limited),0.8
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Gandhar Gas Cracker,Petchem,440.453,tCO2e,Gandhar Gas Cracker — Steam supply contract,EPA Emission Factors Hub 2024,Internal — EHS team,0.84
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Gandhar Gas Cracker,Petchem,190.194,tCO2e,Gandhar Gas Cracker — Concur travel exports,EPA Emission Factors Hub 2024,TUV Nord (limited),0.97
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Gandhar Gas Cracker,Petchem,297.104,tCO2e,Gandhar Gas Cracker — Annual commuter survey,CEA Grid Factor v20.0,Internal — EHS team,0.92
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Gandhar Gas Cracker,Petchem,1477.339,tCO2e,Gandhar Gas Cracker — Supplier invoice EEIO,DEFRA UK 2024,BSI (limited),0.94
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Gandhar Gas Cracker,Petchem,895.634,tCO2e,Gandhar Gas Cracker — 3PL freight ledgers,GHG Protocol Cross-Sector,Internal — EHS team,0.88
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Gandhar Gas Cracker,Petchem,463.342,tCO2e,Gandhar Gas Cracker — Project capex registers,IPCC 2006 Tier-2,ERM (reasonable),0.95
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Gandhar Gas Cracker,Petchem,413.198,tCO2e,Gandhar Gas Cracker — Waste contractor data,GHG Protocol Cross-Sector,TUV Nord (limited),0.93
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Dahej Industrial Cluster,Petchem,1976.18,tCO2e,Dahej Industrial Cluster — Boiler & furnace fuel logs,EPA Emission Factors Hub 2024,BSI (limited),0.79
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Dahej Industrial Cluster,Petchem,584.453,tCO2e,Dahej Industrial Cluster — Fleet fuel cards,API Compendium 2009,Internal — EHS team,0.81
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Dahej Industrial Cluster,Petchem,1833.332,tCO2e,Dahej Industrial Cluster — Process mass balance,CEA Grid Factor v20.0,ERM (reasonable),0.89
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Dahej Industrial Cluster,Petchem,469.233,tCO2e,Dahej Industrial Cluster — LDAR programme,GLEC Framework 3.0,DNV (limited),0.84
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Dahej Industrial Cluster,Petchem,2059.571,tCO2e,Dahej Industrial Cluster — DISCOM utility bills,IPCC 2006 Tier-2,DNV (limited),0.9
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Dahej Industrial Cluster,Petchem,369.671,tCO2e,Dahej Industrial Cluster — Steam supply contract,GHG Protocol Cross-Sector,,0.81
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Dahej Industrial Cluster,Petchem,259.537,tCO2e,Dahej Industrial Cluster — Concur travel exports,DEFRA UK 2024,TUV Nord (reasonable),0.96
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Dahej Industrial Cluster,Petchem,380.356,tCO2e,Dahej Industrial Cluster — Annual commuter survey,IPCC 2006 Tier-2,TUV Nord (limited),0.82
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Dahej Industrial Cluster,Petchem,1181.931,tCO2e,Dahej Industrial Cluster — Supplier invoice EEIO,GHG Protocol Cross-Sector,TUV Nord (limited),0.79
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Dahej Industrial Cluster,Petchem,758.919,tCO2e,Dahej Industrial Cluster — 3PL freight ledgers,IPCC 2006 Tier-2,TUV Nord (reasonable),0.92
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Dahej Industrial Cluster,Petchem,433.488,tCO2e,Dahej Industrial Cluster — Project capex registers,GHG Protocol Cross-Sector,BSI (limited),0.93
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Dahej Industrial Cluster,Petchem,373.634,tCO2e,Dahej Industrial Cluster — Waste contractor data,IPCC 2006 Tier-1,BSI (limited),0.88
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Nagothane Plant,Petchem,1843.236,tCO2e,Nagothane Plant — Boiler & furnace fuel logs,IPCC 2006 Tier-2,Internal — EHS team,0.97
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Nagothane Plant,Petchem,585.777,tCO2e,Nagothane Plant — Fleet fuel cards,IPCC 2006 Tier-3,TUV Nord (limited),0.82
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Nagothane Plant,Petchem,1643.88,tCO2e,Nagothane Plant — Process mass balance,DEFRA UK 2024,ERM (reasonable),0.91
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Nagothane Plant,Petchem,437.917,tCO2e,Nagothane Plant — LDAR programme,IPCC 2006 Tier-1,,0.79
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Nagothane Plant,Petchem,2226.348,tCO2e,Nagothane Plant — DISCOM utility bills,GLEC Framework 3.0,Internal — EHS team,0.96
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Nagothane Plant,Petchem,322.491,tCO2e,Nagothane Plant — Steam supply contract,API Compendium 2009,TUV Nord (reasonable),0.89
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Nagothane Plant,Petchem,204.208,tCO2e,Nagothane Plant — Concur travel exports,EPA Emission Factors Hub 2024,Internal — EHS team,0.92
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Nagothane Plant,Petchem,253.641,tCO2e,Nagothane Plant — Annual commuter survey,GHG Protocol Cross-Sector,TUV Nord (reasonable),0.93
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Nagothane Plant,Petchem,1062.907,tCO2e,Nagothane Plant — Supplier invoice EEIO,CEA Grid Factor v20.0,TUV Nord (reasonable),0.96
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Nagothane Plant,Petchem,768.767,tCO2e,Nagothane Plant — 3PL freight ledgers,IPCC 2006 Tier-1,BSI (limited),0.93
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Nagothane Plant,Petchem,359.286,tCO2e,Nagothane Plant — Project capex registers,IPCC 2006 Tier-1,TUV Nord (limited),0.81
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Nagothane Plant,Petchem,460.957,tCO2e,Nagothane Plant — Waste contractor data,API Compendium 2009,ERM (reasonable),0.89
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Visakhapatnam Port,Logistics,1517.874,tCO2e,Visakhapatnam Port — Boiler & furnace fuel logs,API Compendium 2009,TUV Nord (limited),0.9
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Visakhapatnam Port,Logistics,643.455,tCO2e,Visakhapatnam Port — Fleet fuel cards,IPCC 2006 Tier-1,,0.78
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Visakhapatnam Port,Logistics,1588.509,tCO2e,Visakhapatnam Port — Process mass balance,GLEC Framework 3.0,,0.83
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Visakhapatnam Port,Logistics,378.171,tCO2e,Visakhapatnam Port — LDAR programme,DEFRA UK 2024,BSI (limited),0.78
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Visakhapatnam Port,Logistics,1928.112,tCO2e,Visakhapatnam Port — DISCOM utility bills,GHG Protocol Cross-Sector,BSI (limited),0.84
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Visakhapatnam Port,Logistics,400.163,tCO2e,Visakhapatnam Port — Steam supply contract,DEFRA UK 2024,Internal — EHS team,0.83
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Visakhapatnam Port,Logistics,217.284,tCO2e,Visakhapatnam Port — Concur travel exports,IPCC 2006 Tier-3,,0.93
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Visakhapatnam Port,Logistics,241.807,tCO2e,Visakhapatnam Port — Annual commuter survey,DEFRA UK 2024,ERM (reasonable),0.91
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Visakhapatnam Port,Logistics,1057.42,tCO2e,Visakhapatnam Port — Supplier invoice EEIO,CEA Grid Factor v20.0,,0.89
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Visakhapatnam Port,Logistics,697.394,tCO2e,Visakhapatnam Port — 3PL freight ledgers,CEA Grid Factor v20.0,ERM (reasonable),0.85
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Visakhapatnam Port,Logistics,359.568,tCO2e,Visakhapatnam Port — Project capex registers,IPCC 2006 Tier-3,ERM (reasonable),0.93
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Visakhapatnam Port,Logistics,379.225,tCO2e,Visakhapatnam Port — Waste contractor data,GHG Protocol Cross-Sector,BSI (limited),0.84
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Mangalore Storage,Logistics,1370.91,tCO2e,Mangalore Storage — Boiler & furnace fuel logs,IPCC 2006 Tier-3,DNV (limited),0.84
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Mangalore Storage,Logistics,407.443,tCO2e,Mangalore Storage — Fleet fuel cards,GHG Protocol Cross-Sector,,0.83
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Mangalore Storage,Logistics,1054.915,tCO2e,Mangalore Storage — Process mass balance,GLEC Framework 3.0,Internal — EHS team,0.96
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Mangalore Storage,Logistics,320.937,tCO2e,Mangalore Storage — LDAR programme,DEFRA UK 2024,ERM (reasonable),0.94
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Mangalore Storage,Logistics,1696.788,tCO2e,Mangalore Storage — DISCOM utility bills,DEFRA UK 2024,DNV (limited),0.92
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Mangalore Storage,Logistics,340.241,tCO2e,Mangalore Storage — Steam supply contract,IPCC 2006 Tier-2,DNV (limited),0.86
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Mangalore Storage,Logistics,140.668,tCO2e,Mangalore Storage — Concur travel exports,GLEC Framework 3.0,DNV (limited),0.95
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Mangalore Storage,Logistics,236.1,tCO2e,Mangalore Storage — Annual commuter survey,IPCC 2006 Tier-2,ERM (reasonable),0.93
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Mangalore Storage,Logistics,982.916,tCO2e,Mangalore Storage — Supplier invoice EEIO,IPCC 2006 Tier-3,DNV (limited),0.88
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Mangalore Storage,Logistics,519.068,tCO2e,Mangalore Storage — 3PL freight ledgers,IPCC 2006 Tier-3,BSI (limited),0.9
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Mangalore Storage,Logistics,338.262,tCO2e,Mangalore Storage — Project capex registers,EPA Emission Factors Hub 2024,ERM (reasonable),0.81
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Mangalore Storage,Logistics,314.72,tCO2e,Mangalore Storage — Waste contractor data,IPCC 2006 Tier-3,ERM (reasonable),0.81
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Kochi Tankage,Logistics,985.788,tCO2e,Kochi Tankage — Boiler & furnace fuel logs,GLEC Framework 3.0,TUV Nord (limited),0.79
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Kochi Tankage,Logistics,395.041,tCO2e,Kochi Tankage — Fleet fuel cards,DEFRA UK 2024,Internal — EHS team,0.83
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Kochi Tankage,Logistics,1015.243,tCO2e,Kochi Tankage — Process mass balance,IPCC 2006 Tier-3,Internal — EHS team,0.95
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Kochi Tankage,Logistics,256.308,tCO2e,Kochi Tankage — LDAR programme,IPCC 2006 Tier-3,DNV (limited),0.82
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Kochi Tankage,Logistics,1281.997,tCO2e,Kochi Tankage — DISCOM utility bills,DEFRA UK 2024,TUV Nord (limited),0.83
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Kochi Tankage,Logistics,216.191,tCO2e,Kochi Tankage — Steam supply contract,GLEC Framework 3.0,DNV (limited),0.89
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Kochi Tankage,Logistics,138.032,tCO2e,Kochi Tankage — Concur travel exports,IPCC 2006 Tier-3,,0.82
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Kochi Tankage,Logistics,157.109,tCO2e,Kochi Tankage — Annual commuter survey,GLEC Framework 3.0,,0.94
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Kochi Tankage,Logistics,655.433,tCO2e,Kochi Tankage — Supplier invoice EEIO,EPA Emission Factors Hub 2024,BSI (limited),0.85
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Kochi Tankage,Logistics,483.84,tCO2e,Kochi Tankage — 3PL freight ledgers,IPCC 2006 Tier-1,TUV Nord (limited),0.86
2019,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Kochi Tankage,Logistics,231.213,tCO2e,Kochi Tankage — Project capex registers,IPCC 2006 Tier-1,BSI (limited),0.88
2019,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Kochi Tankage,Logistics,284.013,tCO2e,Kochi Tankage — Waste contractor data,GHG Protocol Cross-Sector,TUV Nord (limited),0.82
2019,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Nashik Logistics,Logistics,918.825,tCO2e,Nashik Logistics — Boiler & furnace fuel logs,IPCC 2006 Tier-2,Internal — EHS team,0.88
2019,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Nashik Logistics,Logistics,360.672,tCO2e,Nashik Logistics — Fleet fuel cards,EPA Emission Factors Hub 2024,,0.82
2019,Q1,Scope 1,Process Emissions,Reformers & Crackers,Nashik Logistics,Logistics,1004.927,tCO2e,Nashik Logistics — Process mass balance,GHG Protocol Cross-Sector,TUV Nord (limited),0.82
2019,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Nashik Logistics,Logistics,183.519,tCO2e,Nashik Logistics — LDAR programme,GLEC Framework 3.0,TUV Nord (limited),0.95
2019,Q1,Scope 2,Purchased Electricity,Grid + PPA,Nashik Logistics,Logistics,885.98,tCO2e,Nashik Logistics — DISCOM utility bills,IPCC 2006 Tier-2,TUV Nord (limited),0.82
2019,Q1,Scope 2,Purchased Steam,Industrial Utilities,Nashik Logistics,Logistics,187.01,tCO2e,Nashik Logistics — Steam supply contract,CEA Grid Factor v20.0,Internal — EHS team,0.79
2019,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Nashik Logistics,Logistics,120.713,tCO2e,Nashik Logistics — Concur travel exports,IPCC 2006 Tier-2,,0.95
2019,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Nashik Logistics,Logistics,173.25,tCO2e,Nashik Logistics — Annual commuter survey,GLEC Framework 3.0,ERM (reasonable),0.8
2019,Q1,Scope 3,Purchased Goods,Raw & Packaging,Nashik Logistics,Logistics,652.88,tCO2e,Nashik Logistics — Supplier invoice EEIO,IPCC 2006 Tier-1,DNV (limited),0.94
2019,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Nashik Logistics,Logistics,355.375,tCO2e,Nashik Logistics — 3PL freight ledgers,GHG Protocol Cross-Sector,BSI (limited),0.83
