fiscal_period,event_type,capex_climate,opex_climate,impairment_amount,insurance_recovery,affected_asset_id,gl_account,scenario_tag,description,approver,supporting_doc,currency,narrative
FY2016-Q2,Transition,0,0,151.63,0.0,Ahmedabad Office,GL-8500-OpEx,NGFS-DelayedTransition,Stranded Asset Impairment — Refinery,Treasurer,CFI-FY2016-Q2-606425.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q2,Transition,0,0,106.89,0.0,Kandla Terminal,GL-1200-CapEx,NGFS-DelayedTransition,Stranded Asset Impairment — Refinery,Group FC,CFI-FY2016-Q2-772780.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q2,Chronic,53.47,1.7,0,0.0,Hyderabad Catalysis Lab,GL-7400-OpEx,NGFS-NetZero2050,Sea-Level Rise — Coastal Defences,Controller,CFI-FY2016-Q2-321488.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q2,Acute,63.58,3.82,0,2.03,Ahmedabad Office,GL-4100-Impair,NGFS-DivergentNetZero,Wildfire — Asset Loss,Treasurer,CFI-FY2016-Q2-796308.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,0,0,111.22,0.0,Kandla Terminal,GL-5200-Insurance,NGFS-DivergentNetZero,Stranded Asset Impairment — Refinery,Controller,CFI-FY2016-Q3-680751.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Acute,0.61,2.21,0,0.71,Jamnagar Polymer Plant,GL-2400-OpEx,IEA-STEPS,Cyclone Damage — Coastal Plant,CFO,CFI-FY2016-Q3-198749.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Transition,0,0,165.48,0.0,Dahej Industrial Cluster,GL-6300-OpEx,RCP4.5,Stranded Asset Impairment — Refinery,CFO,CFI-FY2016-Q3-943981.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Acute,0.28,5.97,0,2.62,Hazira Refinery,GL-2300-OpEx,NGFS-DelayedTransition,Heatwave — Cooling Surge,Treasurer,CFI-FY2016-Q3-597054.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Transition,1.34,32.97,0,0.0,Kolkata Distribution,GL-4100-Impair,IEA-STEPS,Carbon Border Adjustment Mechanism,Group FC,CFI-FY2016-Q3-147144.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Transition,0,0,34.12,0.0,Visakhapatnam Port,GL-4100-Impair,RCP4.5,Stranded Asset Impairment — Refinery,CFO,CFI-FY2016-Q3-918618.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,11.56,2.46,0,0.0,Vadodara Chemicals,GL-6300-OpEx,NGFS-DivergentNetZero,Renewable PPA — Long-term Contract,CFO,CFI-FY2016-Q3-235779.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Chronic,0.02,7.31,0,0.0,Dahej Industrial Cluster,GL-5200-Insurance,RCP2.6,Rising Avg Temp — Cooling Demand,Plant FC,CFI-FY2016-Q3-800207.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,0.4,19.24,0,0.0,Coimbatore Office,GL-8500-OpEx,RCP2.6,Carbon Tax Provision (India),Plant FC,CFI-FY2016-Q3-758135.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Transition,1.29,4.01,0,0.0,Jaipur Office,GL-4100-Impair,RCP8.5,Carbon Tax Provision (India),Treasurer,CFI-FY2016-Q3-528364.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Acute,0.48,6.9,0,3.48,Dahej Industrial Cluster,GL-7400-OpEx,NGFS-NetZero2050,Heatwave — Cooling Surge,CFO,CFI-FY2016-Q3-742412.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Acute,26.37,3.84,0,1.31,Tuticorin Port Cluster,GL-4100-Impair,IEA-STEPS,Wildfire — Asset Loss,Group FC,CFI-FY2016-Q3-445310.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Transition,1.33,27.91,0,0.0,Pune R&D Center,GL-1200-CapEx,RCP8.5,Carbon Price — Cap & Trade,Plant FC,CFI-FY2016-Q3-896084.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,0.47,33.69,0,0.0,Bengaluru Tech Park,GL-1100-CapEx,RCP8.5,Carbon Price — Cap & Trade,Plant FC,CFI-FY2016-Q3-941566.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Acute,0.58,3.62,0,0.13,Ahmedabad Office,GL-5200-Insurance,IEA-NZE2050,Heatwave — Cooling Surge,Treasurer,CFI-FY2016-Q3-603763.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Acute,1.03,7.29,0,0.31,Haldia Petchem,GL-8500-OpEx,RCP4.5,Flood — Plant Shutdown,Treasurer,CFI-FY2016-Q3-451660.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Acute,0.35,3.93,0,0.68,Haldia Petchem,GL-4100-Impair,IEA-APS,Heatwave — Cooling Surge,Treasurer,CFI-FY2016-Q3-357156.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Transition,0.11,37.46,0,0.0,Hyderabad Distribution,GL-4100-Impair,RCP8.5,Carbon Tax Provision (India),Group FC,CFI-FY2016-Q3-502669.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Acute,1.4,9.54,0,1.87,Vadodara Chemicals,GL-2300-OpEx,NGFS-NetZero2050,Flood — Plant Shutdown,Controller,CFI-FY2016-Q3-232877.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Transition,14.07,4.48,0,0.0,Hazira Refinery,GL-3500-OpEx,RCP4.5,R&D — Bio-feedstock,Audit Committee,CFI-FY2016-Q3-363697.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,20.37,1.02,0,0.0,Haldia Petchem,GL-2300-OpEx,NGFS-DelayedTransition,Plant Decommissioning — Coal,CFO,CFI-FY2016-Q3-909346.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Chronic,0.77,0.79,0,0.0,Kochi Sales Office,GL-5200-Insurance,RCP4.5,Drought — Water Sourcing Cost,Plant FC,CFI-FY2016-Q3-697070.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,0.61,20.03,0,0.0,Hazira Refinery,GL-3500-OpEx,IEA-NZE2050,Carbon Border Adjustment Mechanism,CFO,CFI-FY2016-Q3-269047.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Transition,0.65,3.69,0,0.0,Kochi Tankage,GL-5200-Insurance,NGFS-NetZero2050,EU CSRD Reporting Compliance,Plant FC,CFI-FY2016-Q3-948160.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Transition,1.13,11.42,0,0.0,Mumbai HQ,GL-5200-Insurance,IEA-APS,Carbon Border Adjustment Mechanism,Treasurer,CFI-FY2016-Q3-684688.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Acute,1.43,13.54,0,6.25,Hyderabad Distribution,GL-3500-OpEx,RCP2.6,Flood — Plant Shutdown,Group FC,CFI-FY2016-Q3-521125.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Transition,15.03,4.32,0,0.0,Hazira Refinery,GL-4100-Impair,RCP4.5,Renewable PPA — Long-term Contract,Treasurer,CFI-FY2016-Q3-575582.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,0,0,134.89,0.0,Kochi Tankage,GL-1100-CapEx,RCP8.5,Stranded Asset Impairment — Refinery,Group FC,CFI-FY2016-Q3-779876.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,20.13,0.69,0,0.0,Haldia Petchem,GL-2300-OpEx,RCP8.5,Renewable PPA — Long-term Contract,Audit Committee,CFI-FY2016-Q3-472528.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,27.06,0.62,0,0.0,Kochi Tankage,GL-4100-Impair,RCP4.5,Green Hydrogen Pilot Plant,CFO,CFI-FY2016-Q3-492103.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Transition,0.23,3.62,0,0.0,Pune R&D Center,GL-6300-OpEx,NGFS-DivergentNetZero,EU CSRD Reporting Compliance,Controller,CFI-FY2016-Q3-758686.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Transition,21.81,3.55,0,0.0,Mumbai HQ,GL-2300-OpEx,RCP8.5,R&D — Bio-feedstock,Controller,CFI-FY2016-Q3-297837.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Acute,0.67,28.99,0,12.16,Hazira Refinery,GL-6300-OpEx,IEA-NZE2050,Cyclone Damage — Coastal Plant,Group FC,CFI-FY2016-Q3-323944.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Acute,1.51,4.86,0,0.32,Mumbai HQ,GL-6300-OpEx,RCP4.5,Flood — Plant Shutdown,Treasurer,CFI-FY2016-Q3-400825.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,1.5,19.5,0,0.0,Kandla Terminal,GL-5200-Insurance,RCP2.6,Carbon Tax Provision (India),Group FC,CFI-FY2016-Q3-992681.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Acute,63.68,1.56,0,0.59,Jaipur Office,GL-2300-OpEx,NGFS-NetZero2050,Wildfire — Asset Loss,Treasurer,CFI-FY2016-Q3-137715.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Acute,0.63,9.93,0,5.09,Bengaluru Tech Park,GL-8500-OpEx,RCP8.5,Flood — Plant Shutdown,CFO,CFI-FY2016-Q3-240964.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Chronic,34.84,1.45,0,0.0,Hyderabad Catalysis Lab,GL-7400-OpEx,RCP4.5,Sea-Level Rise — Coastal Defences,Treasurer,CFI-FY2016-Q3-255812.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,31.67,2.78,0,0.0,Indore Distribution,GL-8500-OpEx,NGFS-NetZero2050,Green Hydrogen Pilot Plant,Controller,CFI-FY2016-Q3-987428.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Chronic,9.32,0.2,0,0.0,Nashik Logistics,GL-2300-OpEx,NGFS-NetZero2050,Sea-Level Rise — Coastal Defences,CFO,CFI-FY2016-Q3-280106.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Acute,1.39,10.99,0,3.72,Kochi Sales Office,GL-8500-OpEx,IEA-NZE2050,Cyclone Damage — Coastal Plant,Audit Committee,CFI-FY2016-Q3-143881.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Acute,0.73,3.61,0,0.52,Hyderabad Catalysis Lab,GL-2300-OpEx,IEA-NZE2050,Heatwave — Cooling Surge,Treasurer,CFI-FY2016-Q3-878142.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Acute,0.96,29.53,0,2.79,Ahmedabad Office,GL-1100-CapEx,RCP8.5,Flood — Plant Shutdown,Plant FC,CFI-FY2016-Q3-515006.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Acute,0.53,2.46,0,0.01,Ahmedabad Office,GL-1200-CapEx,RCP2.6,Heatwave — Cooling Surge,Plant FC,CFI-FY2016-Q3-834642.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Transition,0.76,5.93,0,0.0,Bhubaneswar Office,GL-5200-Insurance,RCP4.5,EU CSRD Reporting Compliance,Group FC,CFI-FY2016-Q3-252029.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,0.58,8.07,0,0.0,Kochi Tankage,GL-5200-Insurance,NGFS-DivergentNetZero,Carbon Price — Cap & Trade,Group FC,CFI-FY2016-Q3-983842.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Chronic,48.68,1.4,0,0.0,Jamnagar Polymer Plant,GL-4100-Impair,NGFS-DivergentNetZero,Sea-Level Rise — Coastal Defences,Audit Committee,CFI-FY2016-Q3-934953.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,7.03,0.52,0,0.0,Nagothane Plant,GL-5200-Insurance,NGFS-DivergentNetZero,Carbon Capture & Storage Pilot,Group FC,CFI-FY2016-Q3-475340.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Chronic,52.41,2.27,0,0.0,Visakhapatnam Port,GL-8500-OpEx,NGFS-NetZero2050,Sea-Level Rise — Coastal Defences,CFO,CFI-FY2016-Q3-999665.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Acute,0.6,5.42,0,0.15,Bengaluru Tech Park,GL-4100-Impair,IEA-NZE2050,Heatwave — Cooling Surge,Controller,CFI-FY2016-Q3-286969.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Transition,0,0,115.39,0.0,Tuticorin Port Cluster,GL-2400-OpEx,NGFS-DelayedTransition,Stranded Asset Impairment — Refinery,Group FC,CFI-FY2016-Q3-354488.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Acute,1.42,21.18,0,1.82,Ahmedabad Office,GL-1100-CapEx,IEA-NZE2050,Cyclone Damage — Coastal Plant,Audit Committee,CFI-FY2016-Q3-362071.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Transition,9.33,4.59,0,0.0,Bhubaneswar Office,GL-1100-CapEx,NGFS-NetZero2050,Renewable PPA — Long-term Contract,Controller,CFI-FY2016-Q3-644159.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Transition,1.9,8.97,0,0.0,Surat Polymer Lab,GL-8500-OpEx,NGFS-DivergentNetZero,Carbon Border Adjustment Mechanism,Treasurer,CFI-FY2016-Q3-342222.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,0.74,21.73,0,0.0,Bengaluru Tech Park,GL-1200-CapEx,NGFS-NetZero2050,Carbon Tax Provision (India),Plant FC,CFI-FY2016-Q3-207720.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,15.26,3.3,0,0.0,Surat Polymer Lab,GL-2300-OpEx,RCP8.5,Plant Decommissioning — Coal,Controller,CFI-FY2016-Q3-114076.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Acute,0.12,18.06,0,0.56,Bengaluru Tech Park,GL-1200-CapEx,NGFS-DivergentNetZero,Cyclone Damage — Coastal Plant,CFO,CFI-FY2016-Q3-981273.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Transition,2.82,1.76,0,0.0,Hazira Refinery,GL-8500-OpEx,RCP8.5,R&D — Bio-feedstock,Treasurer,CFI-FY2016-Q3-105787.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Transition,16.56,4.27,0,0.0,Vadodara Chemicals,GL-7400-OpEx,NGFS-DivergentNetZero,EV Fleet Conversion,CFO,CFI-FY2016-Q3-700922.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Chronic,0.16,2.54,0,0.0,Kolkata Distribution,GL-2300-OpEx,NGFS-DivergentNetZero,Rising Avg Temp — Cooling Demand,Audit Committee,CFI-FY2016-Q3-800614.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Chronic,0.59,7.26,0,0.0,Lucknow Distribution,GL-3500-OpEx,RCP2.6,Rising Avg Temp — Cooling Demand,CFO,CFI-FY2016-Q3-121273.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Transition,9.59,2.04,0,0.0,Lucknow Distribution,GL-3500-OpEx,RCP8.5,R&D — Bio-feedstock,Audit Committee,CFI-FY2016-Q3-108458.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Acute,0.37,6.35,0,1.13,Paradip Plant,GL-6300-OpEx,NGFS-DivergentNetZero,Heatwave — Cooling Surge,Group FC,CFI-FY2016-Q3-690301.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Chronic,0.27,3.29,0,0.0,Coimbatore Office,GL-2400-OpEx,IEA-APS,Drought — Water Sourcing Cost,Audit Committee,CFI-FY2016-Q3-549771.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,0.59,9.66,0,0.0,Jaipur Office,GL-7400-OpEx,IEA-STEPS,Carbon Border Adjustment Mechanism,Treasurer,CFI-FY2016-Q3-507957.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,0.62,23.29,0,0.0,Pune R&D Center,GL-5200-Insurance,IEA-APS,Carbon Tax Provision (India),Controller,CFI-FY2016-Q3-472263.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,0,0,94.29,0.0,Hazira Refinery,GL-7400-OpEx,RCP2.6,Stranded Asset Impairment — Refinery,Group FC,CFI-FY2016-Q3-544684.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Acute,38.07,1.69,0,0.42,Delhi Sales Hub,GL-2300-OpEx,RCP2.6,Wildfire — Asset Loss,Treasurer,CFI-FY2016-Q3-712975.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,1.81,21.95,0,0.0,Coimbatore Office,GL-2300-OpEx,NGFS-DivergentNetZero,Carbon Border Adjustment Mechanism,CFO,CFI-FY2016-Q3-115804.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Transition,1.74,7.53,0,0.0,Visakhapatnam Port,GL-8500-OpEx,NGFS-NetZero2050,Carbon Tax Provision (India),CFO,CFI-FY2016-Q3-553988.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Acute,1.95,5.61,0,0.22,Hyderabad Distribution,GL-2400-OpEx,IEA-STEPS,Flood — Plant Shutdown,Controller,CFI-FY2016-Q3-320807.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Acute,1.19,35.23,0,15.09,Ahmedabad Office,GL-1100-CapEx,IEA-NZE2050,Flood — Plant Shutdown,Group FC,CFI-FY2016-Q3-101729.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Acute,0.01,15.69,0,4.61,Surat Polymer Lab,GL-1200-CapEx,IEA-APS,Flood — Plant Shutdown,Plant FC,CFI-FY2016-Q3-857996.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,8.9,1.0,0,0.0,Hyderabad Distribution,GL-1100-CapEx,NGFS-NetZero2050,Renewable PPA — Long-term Contract,CFO,CFI-FY2016-Q3-498167.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,33.11,0.79,0,0.0,Hyderabad Catalysis Lab,GL-7400-OpEx,RCP4.5,Plant Decommissioning — Coal,CFO,CFI-FY2016-Q3-264429.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,0,0,149.83,0.0,Hazira Refinery,GL-7400-OpEx,RCP8.5,Stranded Asset Impairment — Refinery,Audit Committee,CFI-FY2016-Q3-781564.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Chronic,0.24,3.87,0,0.0,Bhubaneswar Office,GL-4100-Impair,NGFS-NetZero2050,Rising Avg Temp — Cooling Demand,CFO,CFI-FY2016-Q3-287780.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,0.57,6.63,0,0.0,Bhubaneswar Office,GL-3500-OpEx,IEA-STEPS,Carbon Border Adjustment Mechanism,Treasurer,CFI-FY2016-Q3-484403.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Transition,0.79,32.6,0,0.0,Kochi Sales Office,GL-1100-CapEx,RCP2.6,Carbon Border Adjustment Mechanism,CFO,CFI-FY2016-Q3-151827.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2016-Q3,Transition,70.64,2.94,0,0.0,Ahmedabad Office,GL-1200-CapEx,NGFS-NetZero2050,Plant Decommissioning — Coal,CFO,CFI-FY2016-Q3-719742.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,11.3,4.34,0,0.0,Nagothane Plant,GL-4100-Impair,RCP2.6,Renewable PPA — Long-term Contract,Plant FC,CFI-FY2016-Q3-394290.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Chronic,0.71,7.75,0,0.0,Bengaluru Tech Park,GL-7400-OpEx,NGFS-DivergentNetZero,Drought — Water Sourcing Cost,CFO,CFI-FY2016-Q3-153223.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,34.73,1.52,0,0.0,Kochi Sales Office,GL-3500-OpEx,RCP4.5,Green Hydrogen Pilot Plant,Audit Committee,CFI-FY2016-Q3-925559.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,14.66,0.51,0,0.0,Hazira Refinery,GL-4100-Impair,NGFS-DivergentNetZero,R&D — Bio-feedstock,Plant FC,CFI-FY2016-Q3-404763.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Acute,12.43,3.08,0,0.59,Nagothane Plant,GL-2300-OpEx,RCP2.6,Wildfire — Asset Loss,Audit Committee,CFI-FY2016-Q3-479924.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Transition,4.73,0.77,0,0.0,Lucknow Distribution,GL-2400-OpEx,IEA-STEPS,EV Fleet Conversion,Group FC,CFI-FY2016-Q3-926190.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Transition,16.37,2.44,0,0.0,Haldia Petchem,GL-5200-Insurance,IEA-APS,R&D — Bio-feedstock,Plant FC,CFI-FY2016-Q3-335519.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2016-Q3,Transition,58.62,3.48,0,0.0,Mangalore Storage,GL-5200-Insurance,RCP4.5,Plant Decommissioning — Coal,Plant FC,CFI-FY2016-Q3-452347.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Acute,1.74,7.17,0,0.16,Jaipur Office,GL-4100-Impair,IEA-NZE2050,Flood — Plant Shutdown,Audit Committee,CFI-FY2016-Q3-652807.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Acute,0.27,5.08,0,3.04,Nashik Logistics,GL-1100-CapEx,IEA-STEPS,Heatwave — Cooling Surge,Controller,CFI-FY2016-Q3-406303.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,23.6,2.08,0,0.0,Indore Distribution,GL-2300-OpEx,RCP2.6,R&D — Bio-feedstock,CFO,CFI-FY2016-Q3-164529.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,1.44,39.33,0,0.0,Vadodara Chemicals,GL-2300-OpEx,NGFS-DelayedTransition,Carbon Tax Provision (India),CFO,CFI-FY2016-Q3-475395.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Transition,1.57,39.62,0,0.0,Nagothane Plant,GL-6300-OpEx,IEA-STEPS,Carbon Tax Provision (India),Plant FC,CFI-FY2016-Q3-928235.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,1.25,33.19,0,0.0,Kochi Tankage,GL-6300-OpEx,RCP8.5,Carbon Tax Provision (India),Treasurer,CFI-FY2016-Q3-689067.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Acute,0.12,18.6,0,7.21,Hyderabad Distribution,GL-2300-OpEx,IEA-NZE2050,Cyclone Damage — Coastal Plant,Treasurer,CFI-FY2016-Q3-503243.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2016-Q3,Chronic,0.13,0.61,0,0.0,Ahmedabad Office,GL-8500-OpEx,RCP8.5,Rising Avg Temp — Cooling Demand,CFO,CFI-FY2016-Q3-232088.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,8.61,3.22,0,0.0,Haldia Petchem,GL-8500-OpEx,RCP4.5,R&D — Bio-feedstock,Group FC,CFI-FY2016-Q3-924640.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,0.75,7.75,0,0.0,Mangalore Storage,GL-8500-OpEx,IEA-STEPS,EU CSRD Reporting Compliance,Group FC,CFI-FY2016-Q3-599042.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2016-Q3,Transition,0.91,35.11,0,0.0,Bengaluru Tech Park,GL-2300-OpEx,RCP4.5,Carbon Tax Provision (India),Audit Committee,CFI-FY2016-Q3-540638.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2016-Q3,Transition,0.32,27.27,0,0.0,Kandla Terminal,GL-1200-CapEx,NGFS-DelayedTransition,Carbon Border Adjustment Mechanism,Audit Committee,CFI-FY2016-Q3-324324.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Acute,0.05,3.49,0,0.87,Dahej Industrial Cluster,GL-4100-Impair,IEA-STEPS,Heatwave — Cooling Surge,Plant FC,CFI-FY2016-Q3-322343.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2016-Q3,Transition,2.19,0.2,0,0.0,Bengaluru Tech Park,GL-4100-Impair,RCP8.5,Renewable PPA — Long-term Contract,Audit Committee,CFI-FY2016-Q3-867752.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2016-Q3,Transition,10.27,2.25,0,0.0,Pune R&D Center,GL-3500-OpEx,IEA-STEPS,Renewable PPA — Long-term Contract,Controller,CFI-FY2016-Q3-392811.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2016-Q3,Transition,23.48,0.29,0,0.0,Tuticorin Port Cluster,GL-6300-OpEx,RCP4.5,EV Fleet Conversion,CFO,CFI-FY2016-Q3-195986.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
